num_runs	Labeling and mislabeling	Catastrophizing	Dichotomous Reasoning	Emotional Reasoning	Disqualifying the Positive	Magnification and Minimization	Mental Filtering	Mindreading	Fortune-telling	Overgeneralizing	Personalizing	Should statements
1	1.2274872271174357	0.9777135116553813	1.1406232569648767	1.9502464089516636	1.2656893372772702	1.1078188425927213	1.2151132382604548	1.0185582238599307	1.1111312108912172	1.4392322321708624	2.1570036351689184	1.055431229999223
2	1.1513088931130246	0.9487768267373459	1.1327721824603219	1.9590923403120128	1.2422629718050355	1.0725665307764707	1.3518974955258078	1.0653426384362972	1.176922861551644	1.44565633944399	2.0913240359043557	1.0394946627383856
3	1.194872995260633	0.8789873826721663	1.1094912378932908	1.9900432186549954	1.2534507688643384	1.0266635824561674	1.2530090006146533	1.081691748974809	1.178210238774107	1.433375529480822	2.0192380196094852	1.0400695381346647
4	1.1977373512120884	0.9845308513889524	1.138698973104261	1.8494017053974117	1.2922770211616275	1.0965460994852079	1.3286516791834937	1.0408375599985744	1.0565943874486288	1.43768116394098	1.994698413949202	1.069102334620483
5	1.1996792389403743	0.8764226060042366	1.1208805855431687	1.9477783995866165	1.231587462673907	1.104164158471391	1.2875914919583706	1.0466263101901856	1.0026197838739954	1.4343480551692696	2.1086243076067257	1.0650731440533092
6	1.174136824333636	0.7779419569625589	1.106781865357222	2.226860770846024	1.1698594043287605	1.0867162089666682	1.3201251125063425	1.0482314456172162	1.1414648269372412	1.4402802052097061	2.058923555028442	1.0267753511307784
7	1.2126703284456724	0.9659355627263946	1.1626349690980207	2.137410889673053	1.2859143253131222	1.0956909574663456	1.4374961911025699	1.058568829426593	1.206469741942723	1.4340244307070278	2.138084234628689	1.0603246602778116
8	1.199402139195142	1.0791305909255602	1.1262016474847327	1.9730759789759222	1.1539920872177731	1.090619112060154	1.395661411309538	1.0079941647170134	0.968498377067262	1.425471404649306	2.015334420888247	1.0382574045363173
9	1.212689059833462	1.0502633386953872	1.1400483810715303	1.9883881065793803	1.2279902626943464	1.0779305059341964	1.4565748816804351	1.091674339758151	1.1961211620758267	1.4271536636706919	1.957333038216542	1.066814102449307
10	1.203503747676769	0.8743106301853039	1.1313856984068251	2.1157005076449393	1.2645597536585067	1.101671485566152	1.3846659804458066	1.051345510876971	1.1611894897913466	1.4459511288616478	2.070794939791901	1.0184487886604559
11	1.245899833005395	1.0154089919348877	1.14295635999733	1.8765403052585228	1.2232562177652422	1.0920623639274696	1.2054954924123646	1.1011265457569344	1.0948712693622553	1.45312391999541	2.1747229302071327	1.103458224605743
