num_runs	$D$	$R$
1	1520658	6651978
2	1531996	6825884
3	1521172	6751523
4	1544572	6787125
5	1459072	6861059
6	1485550	6926239
7	1526863	6717440
8	1533610	6707294
9	1467028	6698051
10	1568385	6792305
11	1529770	6666427
12	1490055	6724778
13	1495486	6843512
14	1582243	6782930
15	1505847	6864489
16	1531844	6785371
17	1534163	6910983
18	1504357	6837644
19	1519455	6794124
20	1485743	6721300
21	1481639	6853402
22	1522714	6633483
23	1534093	6711217
24	1556777	6818324
25	1541351	6794038
26	1474861	6698910
27	1519672	6708543
28	1480347	6845690
29	1521179	6767386
30	1518422	6861823
31	1532145	6801936
32	1481474	6977457
33	1547116	7011690
34	1485766	6761309
35	1511614	6801023
36	1562159	6792517
37	1534503	6728202
38	1572126	6810673
39	1508901	6689901
40	1500369	6839848
41	1495369	6909543
42	1486182	6775969
43	1507487	6952448
44	1521367	6791594
45	1518140	6740296
46	1461091	6695619
47	1470933	6831552
48	1526496	6861497
49	1548095	6831622
50	1493161	6723869
51	1492380	6838894
52	1472396	6819064
53	1503470	6797010
54	1528317	6770912
55	1502144	6747877
56	1511172	6729804
57	1503754	6839283
58	1505225	6790938
59	1501189	6719377
60	1464074	6803406
61	1453558	6642551
62	1494370	6647184
63	1549441	6750524
64	1543331	6665517
65	1495811	6675937
66	1467889	6934455
67	1516350	6747769
68	1535188	6743440
69	1437347	6851033
70	1544401	6808795
71	1499515	6870638
72	1499426	6855912
73	1468601	6817502
74	1469663	6896318
75	1519250	6597859
76	1494985	6610510
77	1429082	6776647
78	1508743	6728411
79	1485510	6795136
80	1489821	6909729
81	1476268	6812082
82	1526915	6735702
83	1481922	6839387
84	1489116	6788268
85	1473925	6895558
86	1497635	6776908
87	1530808	6762779
88	1503245	6862189
89	1543100	6625389
90	1463992	6866092
91	1551727	6753797
92	1505149	6698365
93	1491246	6959913
94	1489029	6865553
95	1468231	6857923
96	1481384	6866026
97	1493308	6842980
98	1544217	6693231
99	1522875	6730746
100	1475412	6781477
101	1539964	6649924
102	1555155	6826587
103	1511371	6703774
104	1494287	6657511
105	1493863	6747567
106	1490363	6788937
107	1521784	6854257
108	1546646	6801008
109	1477386	6696356
110	1518616	6647961
111	1513587	6746827
112	1476977	6774146
113	1528399	6670052
114	1549600	6885847
115	1561233	6780999
116	1497266	6735107
117	1468966	6718631
