	gender	gender	age	age	age	age	org	org
	male	female	<=18	19-29	30-39	>=40	non-org	is-org
user_id								
D0700	0.0036	0.9964	0.6219	0.3025	0.0104	0.0653	1.0	0.0
D1023	0.0112	0.9888	0.2761	0.5582	0.0639	0.1018	0.9961	0.0039
D0753	0.0205	0.9795	0.0558	0.7282	0.0418	0.1742	1.0	0.0
D0573	0.0592	0.9408	0.0206	0.975	0.0027	0.0017	1.0	0.0
D1164	0.7191	0.2809	0.1746	0.2393	0.0793	0.5067	0.9127	0.0873
D0824	0.1771	0.8229	0.1416	0.7068	0.1003	0.0514	1.0	0.0
D0699	0.5678	0.4322	0.7422	0.0227	0.0432	0.1919	0.9909	0.0091
D0777	0.2412	0.7588	0.2407	0.7549	0.0023	0.0021	1.0	0.0
D1171	0.1764	0.8236	0.5469	0.4507	0.0009	0.0015	0.9997	0.0003
D0975	0.0223	0.9777	0.2953	0.6032	0.0768	0.0247	0.9899	0.0101
D0752	0.0059	0.9941	0.0011	0.0139	0.9031	0.08199999999999999	0.9997	0.0003
D0735	0.5462	0.4538	0.0105	0.0723	0.0479	0.8693	0.7385	0.2615
D1101	0.0303	0.9697	0.4178	0.5125	0.0511	0.0186	0.9998	0.0002
D0622	0.0017	0.9983	0.0005	0.0084	0.9901	0.001	1.0	0.0
D1133	0.9994	0.0006	0.0002	0.0021	0.9835	0.0142	0.9998	0.0002
D0800	0.2578	0.7422	0.457	0.456	0.083	0.004	0.9999	0.0001
D0964	0.0118	0.9882	0.2222	0.6159	0.0464	0.1155	0.9997	0.0003
D1147	0.9992	0.0008	0.1636	0.6224	0.2006	0.0134	1.0	0.0
D0465	0.9706	0.0294	0.1851	0.0434	0.0206	0.7509	0.9961	0.0039
D0763	0.6982	0.3018	0.2895	0.4724	0.14300000000000002	0.0951	0.9974	0.0026
D1060	0.2505	0.7495	0.3958	0.58	0.0124	0.0118	1.0	0.0
D0684	0.4431	0.5569	0.2329	0.4679	0.2893	0.0099	1.0	0.0
D0939	0.9819	0.0181	0.027000000000000003	0.9309	0.0309	0.0112	1.0	0.0
D1068	0.1963	0.8037	0.2328	0.5468	0.1934	0.027000000000000003	1.0	0.0
D1198	0.0206	0.9794	0.0294	0.1928	0.1905	0.5872	0.9907	0.0093
D1118	0.2111	0.7889	0.9048	0.0927	0.0014	0.0011	0.9995	0.0005
D0932	0.008	0.992	0.0254	0.5602	0.4082	0.0063	1.0	0.0
D0527	0.0095	0.9905	0.0151	0.4591	0.5048	0.021	1.0	0.0
D0711	0.0021	0.9979	0.0029	0.3765	0.6096	0.0111	0.9999	0.0001
D0698	0.9973	0.0027	0.0174	0.054000000000000006	0.7562	0.1723	0.9997	0.0003
D0180	0.3258	0.6742	0.0906	0.6882	0.215	0.0062	1.0	0.0
