user_id	in_filtered	has_demographics
D0001	True	True
D0002	True	False
D0003	True	True
D0004	True	False
D0005	True	True
D0006	True	True
D0007	True	True
D0008	True	True
D0009	True	True
D0010	True	True
D0011	True	False
D0012	True	True
D0013	True	True
D0014	True	False
D0015	True	True
D0016	True	True
D0017	True	True
D0018	True	True
D0019	True	True
D0020	True	True
D0021	True	True
D0022	True	True
D0023	True	True
D0024	True	True
D0025	True	True
D0026	True	True
D0027	True	False
D0028	True	True
D0029	True	True
D0030	True	True
D0031	True	True
D0032	True	True
D0033	True	True
D0034	True	True
D0035	True	True
D0036	True	True
D0037	True	False
D0038	True	True
D0039	True	True
D0040	True	True
D0041	True	True
D0042	True	True
D0043	True	True
D0044	True	True
D0045	True	True
D0046	True	True
D0047	True	True
D0048	True	True
D0049	True	True
D0050	True	True
D0051	True	True
D0052	True	True
D0053	True	True
D0054	True	True
D0055	True	True
D0056	True	True
D0057	True	True
D0058	True	True
D0059	True	True
D0060	True	True
D0061	True	True
D0062	True	True
D0063	True	True
D0064	True	True
D0065	True	True
D0066	True	True
D0067	True	False
D0068	True	True
D0069	True	True
D0070	True	True
D0071	True	True
D0072	True	True
D0073	True	True
D0074	True	True
D0075	True	True
D0076	True	True
D0077	True	False
D0078	True	True
D0079	True	True
D0080	True	True
D0081	True	True
D0082	True	False
D0083	True	True
D0084	True	True
D0085	True	True
D0086	True	True
D0087	True	True
D0088	True	True
D0089	True	True
D0090	True	True
D0091	True	True
D0092	True	False
D0093	True	True
D0094	True	False
D0095	True	True
D0096	True	True
D0097	True	False
D0098	True	True
D0099	True	True
D0100	True	True
D0101	True	True
D0102	True	True
D0103	True	True
D0104	True	True
D0105	True	True
D0106	True	True
D0107	True	False
D0108	True	True
D0109	True	True
D0110	True	True
D0111	True	True
D0112	True	True
D0113	True	True
D0114	True	True
D0115	True	True
D0116	True	True
D0117	True	True
D0118	True	True
D0119	True	True
D0120	True	False
D0121	True	True
D0122	True	True
D0123	True	True
D0124	True	True
D0125	True	True
D0126	True	True
D0127	True	True
D0128	True	True
D0129	True	True
D0130	True	True
D0131	True	True
D0132	True	True
D0133	True	True
D0134	True	True
D0135	True	True
D0136	True	True
D0137	True	True
D0138	True	True
D0139	True	True
D0140	True	False
D0141	True	True
D0142	True	False
D0143	True	True
D0144	True	True
D0145	True	False
D0146	True	True
D0147	True	True
D0148	True	True
D0149	True	True
D0150	True	True
D0151	True	True
D0152	True	True
D0153	True	True
D0154	True	True
D0155	True	False
D0156	True	True
D0157	True	True
D0158	True	True
D0159	True	True
D0160	True	True
D0161	True	True
D0162	True	True
D0163	True	True
D0164	True	True
D0165	True	True
D0166	True	True
D0167	True	True
D0168	True	True
D0169	True	False
D0170	True	True
D0171	True	True
D0172	True	True
D0173	True	True
D0174	True	False
D0175	True	False
D0176	True	True
D0177	True	True
D0178	True	True
D0179	True	True
D0180	True	True
D0181	True	True
D0182	True	True
D0183	True	True
D0184	True	True
D0185	True	True
D0186	True	False
D0187	True	True
D0188	True	False
D0189	True	True
D0190	True	True
D0191	True	True
D0192	True	True
D0193	True	True
D0194	True	True
D0195	True	True
D0196	True	True
D0197	True	True
D0198	True	True
D0199	True	True
D0200	True	False
D0201	True	True
D0202	True	True
D0203	True	True
D0204	True	True
D0205	True	True
D0206	True	True
D0207	True	True
D0208	True	True
D0209	True	True
D0210	True	True
D0211	True	False
D0212	True	True
D0213	True	True
D0214	True	True
D0215	True	True
D0216	True	True
D0217	True	False
D0218	True	True
D0219	True	False
D0220	True	False
D0221	True	True
D0222	True	False
D0223	True	True
D0224	True	True
D0225	True	True
D0226	True	True
D0227	True	True
D0228	True	True
D0229	True	True
D0230	True	True
D0231	True	True
D0232	True	True
D0233	True	True
D0234	True	True
D0235	True	True
D0236	True	True
D0237	True	False
D0238	True	True
D0239	True	True
D0240	True	True
D0241	True	True
D0242	True	True
D0243	True	False
D0244	True	True
D0245	True	True
D0246	True	True
D0247	True	False
D0248	True	True
D0249	True	True
D0250	True	True
D0251	True	True
D0252	True	True
D0253	True	True
D0254	True	True
D0255	True	True
D0256	True	True
D0257	True	True
D0258	True	True
D0259	True	True
D0260	True	True
D0261	True	True
D0262	True	True
D0263	True	True
D0264	True	True
D0265	True	True
D0266	True	False
D0267	True	True
D0268	True	True
D0269	True	False
D0270	True	True
D0271	True	True
D0272	True	False
D0273	True	True
D0274	True	True
D0275	True	True
D0276	True	False
D0277	True	True
D0278	True	False
D0279	True	True
D0280	True	True
D0281	True	False
D0282	True	True
D0283	True	True
D0284	True	True
D0285	True	True
D0286	True	True
D0287	True	False
D0288	True	True
D0289	True	True
D0290	True	True
D0291	True	True
D0292	True	True
D0293	True	True
D0294	True	True
D0295	True	True
D0296	True	False
D0297	True	True
D0298	True	True
D0299	True	True
D0300	True	True
D0301	True	True
D0302	True	True
D0303	True	True
D0304	True	True
D0305	True	True
D0306	True	False
D0307	True	False
D0308	True	True
D0309	True	True
D0310	True	True
D0311	True	True
D0312	True	True
D0313	True	True
D0314	True	True
D0315	True	True
D0316	True	True
D0317	True	True
D0318	True	True
D0319	True	True
D0320	True	True
D0321	True	True
D0322	True	True
D0323	True	True
D0324	True	True
D0325	True	False
D0326	True	False
D0327	True	False
D0328	True	True
D0329	True	True
D0330	True	True
D0331	True	True
D0332	True	True
D0333	True	True
D0334	True	True
D0335	True	True
D0336	True	True
D0337	True	True
D0338	True	True
D0339	True	True
D0340	True	True
D0341	True	True
D0342	True	False
D0343	True	True
D0344	True	True
D0345	True	True
D0346	True	True
D0347	True	True
D0348	True	True
D0349	True	True
D0350	True	True
D0351	True	True
D0352	True	True
D0353	True	True
D0354	True	False
D0355	True	True
D0356	True	True
D0357	True	True
D0358	True	False
D0359	True	False
D0360	True	True
D0361	True	True
D0362	True	True
D0363	True	True
D0364	True	True
D0365	True	True
D0366	True	True
D0367	True	True
D0368	True	False
D0369	True	True
D0370	True	True
D0371	True	True
D0372	True	True
D0373	True	True
D0374	True	True
D0375	True	True
D0376	True	True
D0377	True	True
D0378	True	True
D0379	True	False
D0380	True	True
D0381	True	True
D0382	True	True
D0383	True	True
D0384	True	False
D0385	True	False
D0386	True	True
D0387	True	True
D0388	True	True
D0389	True	True
D0390	True	True
D0391	True	False
D0392	True	True
D0393	True	False
D0394	True	True
D0395	True	True
D0396	True	True
D0397	True	False
D0398	True	True
D0399	True	True
D0400	True	True
D0401	True	True
D0402	True	True
D0403	True	True
D0404	True	False
D0405	True	True
D0406	True	True
D0407	True	True
D0408	True	True
D0409	True	True
D0410	True	True
D0411	True	True
D0412	True	True
D0413	True	True
D0414	True	True
D0415	True	True
D0416	True	True
D0417	True	True
D0418	True	True
D0419	True	True
D0420	True	True
D0421	True	True
D0422	True	True
D0423	True	True
D0424	True	True
D0425	True	True
D0426	True	True
D0427	True	True
D0428	True	True
D0429	True	True
D0430	True	False
D0431	True	True
D0432	True	True
D0433	True	True
D0434	False	False
D0435	True	True
D0436	True	True
D0437	True	True
D0438	False	False
D0439	True	True
D0440	True	True
D0441	True	True
D0442	True	True
D0443	True	True
D0444	True	True
D0445	True	True
D0446	True	True
D0447	True	True
D0448	True	True
D0449	True	True
D0450	True	True
D0451	True	True
D0452	True	True
D0453	True	True
D0454	True	True
D0455	True	True
D0456	True	True
D0457	True	True
D0458	True	True
D0459	True	True
D0460	True	True
D0461	True	True
D0462	True	True
D0463	True	True
D0464	True	True
D0465	True	True
D0466	True	True
D0467	True	True
D0468	True	True
D0469	True	True
D0470	True	True
D0471	True	True
D0472	True	True
D0473	True	True
D0474	True	True
D0475	True	True
D0476	True	True
D0477	True	True
D0478	True	True
D0479	True	True
D0480	True	True
D0481	True	True
D0482	True	True
D0483	True	True
D0484	True	True
D0485	True	True
D0486	True	True
D0487	True	True
D0488	True	True
D0489	True	True
D0490	True	True
D0491	True	True
D0492	True	True
D0493	True	True
D0494	True	True
D0495	True	True
D0496	True	True
D0497	True	True
D0498	True	True
D0499	True	True
D0500	True	True
D0501	True	True
D0502	True	True
D0503	True	True
D0504	True	True
D0505	True	True
D0506	True	True
D0507	True	True
D0508	True	True
D0509	True	True
D0510	True	True
D0511	True	True
D0512	True	True
D0513	True	True
D0514	True	True
D0515	True	True
D0516	True	True
D0517	True	True
D0518	True	True
D0519	True	True
D0520	True	True
D0521	True	True
D0522	True	True
D0523	True	True
D0524	True	True
D0525	True	True
D0526	True	True
D0527	True	True
D0528	True	True
D0529	True	True
D0530	True	True
D0531	True	True
D0532	True	True
D0533	True	True
D0534	True	True
D0535	True	True
D0536	True	True
D0537	True	True
D0538	True	True
D0539	True	True
D0540	True	True
D0541	True	False
D0542	True	True
D0543	True	True
D0544	True	True
D0545	True	True
D0546	True	True
