user_id	in_filtered	has_demographics
R0001	False	False
R0002	True	True
R0003	True	True
R0004	True	True
R0005	True	True
R0006	True	True
R0007	True	True
R0008	True	True
R0009	True	True
R0010	True	True
R0011	True	True
R0012	True	True
R0013	True	True
R0014	True	True
R0015	True	True
R0016	True	True
R0017	True	True
R0018	True	True
R0019	True	True
R0020	True	True
R0021	True	True
R0022	True	True
R0023	True	True
R0024	True	True
R0025	True	True
R0026	True	True
R0027	True	True
R0028	True	True
R0029	True	True
R0030	True	True
R0031	True	True
R0032	True	True
R0033	True	True
R0034	True	True
R0035	True	True
R0036	True	True
R0037	True	True
R0038	True	True
R0039	True	True
R0040	False	False
R0041	True	True
R0042	True	True
R0043	True	True
R0044	True	True
R0045	True	True
R0046	True	True
R0047	True	True
R0048	True	True
R0049	True	True
R0050	True	True
R0051	True	True
R0052	True	True
R0053	True	True
R0054	True	True
R0055	True	True
R0056	True	True
R0057	True	True
R0058	True	True
R0059	True	True
R0060	True	True
R0061	True	True
R0062	True	True
R0063	True	True
R0064	True	True
R0065	True	True
R0066	True	True
R0067	True	True
R0068	True	False
R0069	True	True
R0070	True	True
R0071	True	True
R0072	True	True
R0073	True	True
R0074	True	True
R0075	True	True
R0076	True	False
R0077	True	True
R0078	True	True
R0079	True	True
R0080	True	True
R0081	True	True
R0082	True	True
R0083	True	True
R0084	True	True
R0085	True	True
R0086	True	True
R0087	True	False
R0088	True	False
R0089	True	True
R0090	True	False
R0091	True	True
R0092	True	True
R0093	True	True
R0094	False	False
R0095	True	True
R0096	True	True
R0097	True	True
R0098	True	True
R0099	True	True
R0100	True	True
R0101	True	True
R0102	True	True
R0103	True	True
R0104	True	True
R0105	True	True
R0106	True	True
R0107	True	True
R0108	True	True
R0109	True	True
R0110	True	True
R0111	True	True
R0112	True	True
R0113	True	True
R0114	True	True
R0115	True	True
R0116	False	False
R0117	True	True
R0118	True	True
R0119	True	True
R0120	True	True
R0121	True	True
R0122	True	True
R0123	True	True
R0124	True	True
R0125	True	True
R0126	True	True
R0127	True	True
R0128	True	True
R0129	True	True
R0130	True	True
R0131	True	True
R0132	True	True
R0133	True	True
R0134	True	True
R0135	True	True
R0136	True	True
R0137	True	True
R0138	True	True
R0139	True	True
R0140	True	True
R0141	True	True
R0142	True	True
R0143	True	True
R0144	False	False
R0145	True	True
R0146	True	True
R0147	True	True
R0148	False	False
R0149	True	True
R0150	True	True
R0151	True	True
R0152	True	True
R0153	True	True
R0154	True	False
R0155	True	True
R0156	True	True
R0157	True	True
R0158	True	True
R0159	True	True
R0160	True	True
R0161	True	True
R0162	True	True
R0163	True	True
R0164	True	True
R0165	True	True
R0166	False	False
R0167	True	True
R0168	True	True
R0169	False	False
R0170	True	True
R0171	False	False
R0172	True	True
R0173	True	True
R0174	True	True
R0175	True	True
R0176	True	False
R0177	True	False
R0178	True	True
R0179	True	True
R0180	True	True
R0181	True	True
R0182	True	True
R0183	True	True
R0184	True	True
R0185	True	True
R0186	True	True
R0187	True	True
R0188	True	True
R0189	True	True
R0190	True	True
R0191	True	True
R0192	False	False
R0193	True	True
R0194	True	True
R0195	True	True
R0196	True	False
R0197	True	True
R0198	True	True
R0199	True	True
R0200	True	True
R0201	True	True
R0202	True	True
R0203	True	True
R0204	True	True
R0205	True	True
R0206	True	False
R0207	True	True
R0208	True	True
R0209	True	True
R0210	True	True
R0211	True	True
R0212	True	True
R0213	True	True
R0214	True	True
R0215	True	True
R0216	True	True
