user_tag	1	2	3	4	5	6	7	8	9	10	11	12
D0926	31.0	28.0	33.0	53.0	43.0	38.0	64.0	118.0	34.0	6.0	15.0	20.0
D1067	54.0	82.0	116.0	81.0	82.0	37.0	66.0	110.0	19.0			
D0336	40.0	28.0	42.0	14.0	74.0	53.0	49.0	43.0	35.0	50.0	72.0	18.0
D1189	37.0	28.0	44.0	57.0	30.0	33.0	62.0	104.0	69.0	68.0	43.0	44.0
D0471			3.0	103.0	81.0	115.0	182.0	130.0	68.0			
D0024	102.0	66.0	84.0	91.0	87.0							1.0
D0503	34.0	31.0	25.0	26.0	46.0	68.0	38.0	75.0	70.0	76.0	71.0	52.0
D0028				72.0	133.0							
D0506		76.0	94.0	87.0	94.0	54.0	84.0	101.0	38.0			
D0030	51.0	54.0	57.0	54.0	41.0	23.0	30.0	33.0	51.0	57.0	37.0	44.0
D0510	29.0	26.0	28.0	30.0	34.0	43.0	40.0	39.0	85.0	47.0	29.0	30.0
D0511			1.0	111.0	67.0	103.0	117.0	140.0	32.0			
D0513	26.0	53.0	26.0	40.0	43.0	29.0	22.0	18.0	11.0	44.0	46.0	18.0
D0034	44.0	20.0	34.0	41.0	40.0	49.0	34.0	37.0	69.0	68.0	66.0	48.0
D0036	73.0	43.0	90.0	73.0	138.0							93.0
D0517	18.0	15.0	16.0	20.0	22.0	16.0	38.0	24.0	24.0	31.0	22.0	15.0
D0518	12.0	18.0	23.0	22.0	39.0	19.0	28.0	31.0	18.0	8.0	8.0	14.0
D0521	39.0	57.0	46.0	51.0	45.0	47.0	20.0	27.0	13.0		20.0	29.0
D0522	39.0	41.0	30.0	23.0	28.0	18.0	20.0	19.0	15.0	17.0	35.0	43.0
D0042	28.0	24.0	46.0	55.0	50.0	30.0	33.0	42.0	31.0	38.0	50.0	57.0
D0525	2.0	4.0	7.0	1.0	79.0	202.0	120.0	31.0	8.0	4.0	1.0	3.0
D0043	23.0	19.0	34.0	12.0	20.0		23.0	62.0	31.0	39.0	21.0	23.0
D0527	15.0	94.0	99.0	79.0	81.0	60.0	55.0	39.0	14.0			
D0044	79.0	69.0	63.0	100.0	55.0						12.0	65.0
D0531	88.0	47.0	54.0	52.0	37.0	38.0	63.0	54.0	43.0	67.0	38.0	32.0
D0532	0.0	1.0				2.0	6.0	10.0	10.0	2.0	22.0	38.0
D0045	31.0	39.0	45.0	53.0	59.0	24.0	46.0	47.0	35.0	26.0	35.0	41.0
D0537			77.0	54.0	31.0	66.0	39.0	51.0	20.0			
D0049	21.0	47.0	39.0	50.0	26.0	20.0	2.0	6.0	15.0	11.0	9.0	10.0
D0051	39.0	27.0	48.0	37.0	50.0	33.0	25.0	30.0	22.0	30.0	24.0	20.0
D0543	16.0	30.0	22.0	35.0	26.0	56.0	54.0	54.0	40.0	20.0	32.0	13.0
D0546	24.0	33.0	29.0	26.0	38.0	24.0	4.0	10.0	30.0	36.0	52.0	37.0
D0550	42.0	25.0	35.0	33.0	61.0	51.0	32.0	49.0	54.0	52.0	68.0	32.0
D0554	22.0	31.0	32.0	40.0	20.0	27.0	38.0	30.0	16.0		7.0	22.0
D0558	87.0	67.0	126.0	72.0	52.0	55.0	51.0	44.0	68.0	74.0	65.0	68.0
D0062	113.0	99.0	102.0	133.0	88.0					93.0	99.0	103.0
D0570	23.0	22.0	10.0	18.0	17.0	19.0	15.0	14.0	8.0	13.0	22.0	15.0
D0572	108.0	82.0	78.0	95.0	78.0	67.0	73.0	67.0	62.0	45.0	45.0	47.0
D0576	0.0	4.0	1.0	76.0	118.0	90.0	126.0	82.0	19.0	1.0	2.0	1.0
D0577	122.0	85.0	58.0	55.0	1.0	7.0	94.0	150.0	126.0	57.0	49.0	62.0
D0578							347.0	356.0	46.0			
D0579	1.0	5.0	3.0	0.0	11.0	10.0	0.0	0.0	2.0	3.0	5.0	2.0
D0066			3.0	84.0	93.0	96.0	133.0	17.0				
D0581	28.0	24.0	25.0	25.0	28.0	28.0	31.0	44.0	37.0	40.0	18.0	19.0
D0068	49.0	44.0	42.0	49.0	59.0	41.0	23.0	42.0	36.0	50.0	40.0	36.0
D0069	97.0	98.0	98.0	78.0	75.0	46.0	42.0	57.0	49.0	68.0	67.0	79.0
D0585						475.0	118.0	93.0	43.0			
D0070							215.0	738.0	223.0			
D0071	64.0	65.0	70.0	61.0	34.0	13.0	21.0	63.0	50.0	57.0	63.0	67.0
D0594							198.0	159.0	28.0			
D0078	1.0	14.0	154.0	313.0	260.0					2.0	10.0	2.0
D0602	14.0	44.0	59.0	47.0	80.0	38.0	23.0	70.0	37.0	60.0	39.0	25.0
D0603	30.0	32.0	31.0	25.0	18.0	39.0	41.0	38.0	31.0	15.0	35.0	49.0
D0606	17.0	19.0	16.0	2.0	4.0	7.0	17.0	7.0	3.0	9.0	5.0	12.0
D0084	51.0	53.0	58.0	37.0	32.0					29.0	35.0	71.0
