user_id	count
D0700	640
D1023	2356
D0753	2372
D0573	1366
D1164	1702
D0824	1276
D0699	1819
D0777	2258
D1171	65
D0975	2512
D0752	2121
D1211	2115
D0735	2825
D1101	2251
D0622	2457
D1133	120
D0800	972
D0964	1652
D0927	1572
D1147	12
D0465	2627
D0763	2678
D1060	2839
D0684	269
D0939	1537
D1068	1639
D1198	65
D1118	285
D0932	1164
D0527	2391
D0711	2557
D0698	60
D0180	272
D1138	2341
D0973	2912
D0568	2546
D1030	1196
D1189	2501
D0675	2120
D0778	1595
D0783	2030
D0745	185
D0453	1981
D1041	1188
D0509	2549
D0629	1319
D0733	2862
D0771	828
D0534	2639
D0912	2316
D0802	1849
D0513	2029
D1170	2459
D0899	1415
D0617	1498
D0710	2325
D1056	331
D0525	1701
D1172	580
D0612	1773
D0721	1107
D0535	179
D0595	21
D1151	1761
D0762	275
D1074	2782
D1152	198
D1160	60
D1188	2103
D0999	2378
D0860	2216
D0989	2527
D1153	333
D1034	1076
D1083	438
D0755	2217
D0884	11
D1063	2031
D0914	2010
D0565	1948
D1049	117
D0653	1856
D0917	1928
D0139	2391
D0521	2292
D0560	2267
D0965	1749
D0803	2329
D0902	944
D0495	1924
D0601	2543
D1122	574
D1148	773
D0640	2232
D1104	130
D0974	1634
D0958	2562
D0872	2415
D0790	430
D0637	1061
D0715	2658
D0734	1522
D0864	904
D0651	2408
D0630	3025
D1111	901
D0633	1680
D0691	11
D0669	1602
D0519	2724
D0717	131
D0747	3018
D1026	1204
D0487	1216
D0666	2900
D1059	2340
D0749	1992
D1033	1256
D0773	668
D0834	518
D1146	225
D0526	2031
D0712	1311
D0725	1601
D0369	999
D0772	566
D0582	2820
D1187	2953
D0799	742
D0830	2029
D0977	1752
D0992	1426
D0609	609
D1046	2184
D0911	1424
D0635	722
D0023	2203
D0654	2693
D0971	1209
D0561	2450
D1184	2160
D1195	1828
D0553	2505
D1018	1108
D0436	409
D1091	117
D0709	1049
D0905	2770
D0623	2727
D0542	700
D0789	1469
D0952	2039
D0694	1142
D1176	776
D0842	628
D0480	2038
D1070	351
D1072	1656
D0566	1610
D1121	593
D0704	2126
D1021	2801
D0647	1998
D1136	1301
D0538	430
D1210	2605
D0689	1062
D0450	2046
D0913	894
D0835	1960
D0681	2115
D0110	3200
D1024	476
D0494	1945
D1119	325
D0600	999
D0996	252
D0616	1794
D0919	1728
D0869	2304
D0124	112
D1128	91
D0485	2992
D0554	1107
D1003	42
D0618	3105
D1158	488
D0705	870
D0818	1118
D0514	487
D1174	2219
D0493	2713
D0814	2511
D0488	1177
D0662	1746
D0437	86
D0845	70
D0909	1866
D0476	2126
D1199	1991
D1090	1390
D0606	848
D1028	35
D0571	1578
D1163	91
D0837	2640
D0764	1890
D0448	1452
D0546	2623
D0439	19
D0533	1323
D0748	2091
D0785	2392
D0775	1059
D1047	142
D1137	90
D0540	1968
D0810	1369
D0898	356
D0518	1900
D0776	3086
D0523	887
D0886	2731
D0907	1748
D0661	3079
D0016	2038
D1014	2895
D0503	2725
D1069	691
D0552	403
D1203	23
D0925	756
D0451	1715
D0885	2361
D0461	2663
D0930	2196
D1045	355
D0680	2990
D0471	2796
D0781	157
D1150	2437
D1173	253
D0887	87
D0575	2741
D0924	2355
D1102	1873
D0443	1540
D0928	1310
D0683	2599
D1079	1217
D0853	1953
D1166	1094
D0474	1481
D0231	1263
D1098	2594
D0639	2323
D0904	2561
D0896	1072
D1165	1
D0605	1702
D0918	1346
D0687	281
D0585	2406
D0692	2423
D0723	90
D1081	2241
D0827	2283
D1129	414
D0838	2380
D1053	1026
D1076	377
D0968	2241
D0578	2787
D0880	380
D0852	1104
D0787	2698
D1103	1161
D1005	190
D0162	200
D1011	1947
D0863	18
D0758	2180
D1020	1364
D0881	22
D0741	2577
D0570	1974
D0984	2944
D0751	1316
D0475	1955
D0531	2222
D0988	664
D0238	2056
D0754	2957
D0677	2401
D0240	2609
D1027	1647
D0960	1588
D1009	2543
D0727	1347
D1086	2069
D0726	709
D1140	48
D0216	1145
D1107	23
D0936	1660
D0627	995
D1016	1801
D1112	1586
D0851	1196
D1071	129
D0459	2650
D0642	1044
D1080	63
D1050	2409
D1178	22
D1097	377
D0678	2538
D0603	1562
D0498	1674
D0572	3085
D0607	1265
D0457	838
D0528	2228
D0586	2525
D1025	1248
D0342	3353
D0109	2670
D0920	994
D1204	13
D0743	1351
D0445	1996
D0456	2487
D0131	917
D1052	2087
D0732	2796
D1066	1514
D1159	955
D1004	823
D0482	480
D1013	1637
D1162	1865
D1058	2762
D0658	2114
D0889	1585
D0998	383
D0731	358
D0812	1088
D0840	2768
D0574	924
D0577	2896
D0460	2960
D0581	2355
D0066	2144
D0679	2941
D0670	1482
D0619	1246
D0592	345
D0739	1118
D1001	256
D1131	1054
D1108	83
