user_id	count
D0700	206
D1023	699
D0753	427
D0573	352
D1164	454
D0824	312
D0699	260
D0777	578
D1171	10
D0975	712
D0752	722
D1211	497
D0735	774
D1101	453
D0622	515
D1133	21
D0800	195
D0964	338
D0927	325
D1147	3
D0465	965
D0763	547
D1060	825
D0684	63
D0939	142
D1068	479
D1198	23
D1118	55
D0932	287
D0527	536
D0711	479
D0698	6
D0180	30
D1138	623
D0973	608
D0568	691
D1030	227
D1189	619
D0675	300
D0778	254
D0783	393
D0745	24
D0453	364
D1041	227
D0509	738
D0629	279
D0733	915
D0771	174
D0534	761
D0912	605
D0802	335
D0513	376
D1170	664
D0899	276
D0617	298
D0710	385
D1056	99
D0525	462
D1172	153
D0612	495
D0721	126
D0535	28
D0595	9
D1151	331
D0762	52
D1074	485
D1152	85
D1160	6
D1188	622
D0999	370
D0860	560
D0989	336
D1153	75
D1034	240
D1083	68
D0755	310
D0884	1
D1063	359
D0914	530
D0565	462
D1049	14
D0653	475
D0917	349
D0139	740
D0521	394
D0560	280
D0965	267
D0803	395
D0902	167
D0495	345
D0601	574
D1122	105
D1148	180
D0640	613
D1104	15
D0974	389
D0958	802
D0872	665
D0790	92
D0637	264
D0715	424
D0734	193
D0864	217
D0651	746
D0630	703
D1111	173
D0633	307
D0691	0
D0669	496
D0519	659
D0717	30
D0747	404
D1026	247
D0487	290
D0666	494
D1059	616
D0749	440
D1033	266
D0773	143
D0834	102
D1146	66
D0526	468
D0712	268
D0725	360
D0369	259
D0772	94
D0582	531
D1187	831
D0799	137
D0830	514
D0977	381
D0992	260
D0609	126
D1046	570
D0911	241
D0635	151
D0023	670
D0654	876
D0971	154
D0561	438
D1184	594
D1195	431
D0553	298
D1018	250
D0436	154
D1091	29
D0709	228
D0905	370
D0623	580
D0542	71
D0789	328
D0952	498
D0694	164
D1176	207
D0842	179
D0480	395
D1070	118
D1072	387
D0566	373
D1121	121
D0704	242
D1021	752
D0647	579
D1136	345
D0538	96
D1210	585
D0689	114
D0450	624
D0913	145
D0835	345
D0681	352
D0110	418
D1024	81
D0494	341
D1119	89
D0600	190
D0996	57
D0616	441
D0919	364
D0869	599
D0124	7
D1128	15
D0485	603
D0554	285
D1003	8
D0618	836
D1158	99
D0705	123
D0818	137
D0514	107
D1174	529
D0493	693
D0814	465
D0488	345
D0662	467
D0437	17
D0845	9
D0909	335
D0476	323
D1199	322
D1090	313
D0606	118
D1028	4
D0571	322
D1163	30
D0837	668
D0764	409
D0448	395
D0546	343
D0439	5
D0533	416
D0748	510
D0785	569
D0775	166
D1047	33
D1137	10
D0540	620
D0810	438
D0898	105
D0518	240
D0776	929
D0523	175
D0886	577
D0907	319
D0661	203
D0016	361
D1014	689
D0503	612
D1069	224
D0552	60
D1203	9
D0925	109
D0451	540
D0885	656
D0461	694
D0930	448
D1045	88
D0680	743
D0471	682
D0781	41
D1150	492
D1173	35
D0887	33
D0575	623
D0924	539
D1102	431
D0443	364
D0928	346
D0683	729
D1079	406
D0853	443
D1166	239
D0474	348
D0231	250
D1098	913
D0639	512
D0904	451
D0896	225
D1165	0
D0605	238
D0918	420
D0687	75
D0585	729
D0692	557
D0723	25
D1081	471
D0827	471
D1129	69
D0838	273
D1053	276
D1076	64
D0968	627
D0578	749
D0880	70
D0852	269
D0787	563
D1103	537
D1005	51
D0162	27
D1011	609
D0863	10
D0758	486
D1020	309
D0881	5
D0741	523
D0570	196
D0984	251
D0751	287
D0475	172
D0531	613
D0988	180
D0238	707
D0754	588
D0677	471
D0240	678
D1027	436
D0960	387
D1009	760
D0727	240
D1086	392
D0726	89
D1140	21
D0216	234
D1107	6
D0936	216
D0627	388
D1016	473
D1112	360
D0851	241
D1071	24
D0459	476
D0642	300
D1080	8
D1050	540
D1178	6
D1097	90
D0678	446
D0603	384
D0498	317
D0572	847
D0607	338
D0457	297
D0528	363
D0586	732
D1025	303
D0342	1010
D0109	713
D0920	298
D1204	6
D0743	397
D0445	300
D0456	714
D0131	223
D1052	603
D0732	1051
D1066	361
D1159	402
D1004	194
D0482	105
D1013	470
D1162	410
D1058	545
D0658	433
D0889	328
D0998	61
D0731	57
D0812	229
D0840	519
D0574	266
D0577	866
D0460	821
D0581	347
D0066	426
D0679	836
D0670	218
D0619	40
D0592	127
D0739	217
D1001	52
D1131	276
D1108	40
D0688	878
D0545	299
D0929	257
D0544	695
D0891	449
D1015	138
D0478	319
D0855	441
D0967	132
D0708	539
D0019	609
D1143	550
D0563	428
D1181	281
D1139	221
D0455	275
D0621	206
D0944	531
D0779	675
D0284	533
D0449	5
D0906	248
D0388	410
D0685	236
D1105	497
D1075	260
D1123	809
D0656	336
D0934	266
D0949	203
D0583	322
D1179	69
D0706	97
D0962	856
D0634	765
D0826	162
D1022	69
D0980	857
D1144	56
D1120	163
D0950	250
D0458	688
D0650	467
D0501	547
D0613	389
D0536	212
D0839	295
D0808	100
D0908	275
D0564	444
D0955	296
D0982	48
D1116	21
D1099	52
D0894	547
D0819	172
D0942	428
D0486	376
D0806	595
D0811	175
D0191	748
D0537	338
D0786	68
D0822	328
D0547	1397
D0520	405
D0682	180
D0859	321
D0604	625
D0489	280
D0508	282
D1191	250
D0504	126
D0502	432
D0671	357
D1142	98
D0761	178
D0667	27
D0991	408
D0316	200
D0367	110
D0532	91
D1088	184
D0809	519
D0888	178
D1044	280
D0610	420
D0976	178
D0903	118
D0943	682
D0468	671
D1065	12
D1019	112
D0874	521
D0963	326
D0854	626
D0499	544
D0961	412
D1194	35
D0668	1
D1202	5
D0746	216
D0941	745
D0644	372
D1190	23
D0718	529
D0590	375
D0589	337
D0106	1102
D0959	463
D0549	217
D0515	401
D0483	301
D0646	773
D0516	1106
D1031	219
D1186	8
D0945	334
D0823	329
D0788	87
D0817	661
D0938	120
D0994	136
D0594	385
D0876	83
D1201	395
D0901	234
D0892	106
D1064	943
D0588	283
D0648	227
D0584	322
D0813	552
D0221	205
D0663	267
D0951	85
D0947	114
D0983	350
D0557	287
D0469	163
D0598	140
D0218	853
D0796	578
D0543	398
D0981	12
D0940	402
D0428	13
D0559	339
D0832	83
D0910	222
D1175	347
D0707	746
D1082	382
D0597	136
D0507	693
D1117	72
D0820	198
D0757	631
D0804	815
D1040	481
D1185	158
D0470	548
D1093	78
D1077	224
D0862	257
D0815	388
D0481	627
D1193	531
D1067	647
D0825	516
D0611	348
D0657	686
D0701	230
D0805	476
D0742	164
D0956	355
D0579	42
D0794	277
D0463	379
D0948	73
D1141	373
D0866	3
D0567	726
D1006	101
D0769	154
D1124	20
D0636	357
D0555	234
D0740	325
D0831	305
D0645	224
D0490	163
D0479	176
D1149	296
D0551	481
D0868	254
D0615	251
D0933	470
D0765	275
D1205	736
D0915	163
D0576	520
D0821	239
D0935	410
D0729	323
D0875	376
D0923	59
D1182	86
D0673	529
D0946	265
D0328	229
D0352	26
D1183	258
D0676	435
D1192	10
D0720	784
D0770	885
D0179	191
