user_id	I am a	he is a	she is a	they are a	it is a	that is a	sucks at	suck at	I never	he never	she never	you never	we never	they never	I am an	he is an	she is an	they are an	it is an	that is an	a burden	a complete	a completely	a huge	a loser	a major	a total	a totally	a weak	an absolute	an utter	a bad	a broken	a damaged	a helpless	a hopeless	an incompetent	a toxic	an ugly	an undesirable	an unlovable	a worthless	a horrible	a terrible	will fail	will go wrong	will end	will be impossible	will not happen	will be terrible	will be horrible	will be a catastrophe	will be a disaster	will never end	will not end	only	every	everyone	everybody	everything	everywhere	always	perfect	the best	all	not a single	no one	nobody	nothing	nowhere	never	worthless	the worst	neither	nor	either or	black or white	ever	but I feel	since I feel	because I feel	but it feels	since it feels	because it feels	still feels	great but	good but	OK but	not that great	not that good	it was not	not all that	fine but	acceptable but	great yet	good yet	OK yet	fine yet	acceptable yet	worst	best	not important	not count	not matter	no matter	the only thing	the one thing	I see only	all I see	all I can see	can only think	nothing good	nothing right	completely bad	completely wrong	only the bad	only the worst	if I just	if I only	if it just	if it only	everyone believes	everyone knows	everyone thinks	everyone will believe	everyone will know	everyone will think	nobody believes	nobody knows	nobody thinks	nobody will believe	nobody will know	nobody will think	he believes	he knows	he thinks	he does not believe	he does not know	he does not think	he will believe	he will know	he will think	he will not believe	he will not know	he will not think	she believes	she knows	she thinks	she does not believe	she does not know	she does not think	she will believe	she will know	she will think	she will not believe	she will not know	she will not think	they believe	they know	they think	they do not believe	they do not know	they do not think	they will believe	they will know	they will think	they will not believe	they will not know	they will not think	we believe	we know	we think	we do not believe	we do not know	we do not think	we will believe	we will know	we will think	we will not believe	we will not know	we will not think	you believe	you know	you think	you do not believe	you do not know	you do not think	you will believe	you will know	you will think	you will not believe	you will not know	you will not think	I will not	we will not 	you will not	they will not	it will not	that will not	he will not	she will not	all of the time	all of them	all the time	always happens	always like	happens every time	completely	no one ever	nobody ever	every single one of them	every single one of you	I always	you always	he always	she always	they always	I am always	you are always	he is always	she is always	they are always	all me	all my	because I	because my	because of my	because of me	I am responsible	blame me	I caused	I feel responsible	all my doing	all my fault	my bad	my responsibility	should	ought	must	have to	has to
D0700	5	1	0	0	1	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	15	5	11	0	2	0	15	3	10	78	0	6	0	11	0	18	0	3	1	0	0	0	13	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	20	0	0	1	5	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	8	10	1	0	1	0	0	0	0	0	0	0	0	9	0	0	7	0
D1023	16	4	2	1	15	5	0	0	7	1	0	0	0	0	0	2	1	0	3	0	0	1	1	7	0	0	4	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	2	1	0	0	2	0	0	0	0	0	0	0	0	85	34	32	2	19	3	38	6	9	179	0	7	6	25	1	54	0	1	2	0	0	0	36	1	0	1	1	0	0	0	0	1	1	1	1	4	0	1	0	0	0	0	0	0	5	18	0	2	2	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	8	0	1	0	0	0	0	0	0	0	3	2	2	0	1	2	0	1	0	0	4	0	0	0	9	1	0	0	0	6	0	0	0	1	2	1	0	0	0	0	9	37	4	3	0	0	0	0	0	0	0	0	0	35	0	11	53	9
D0753	9	1	1	0	6	0	0	0	2	0	0	3	0	0	2	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	22	19	0	20	1	29	6	22	76	0	6	0	9	1	43	0	2	0	0	0	0	29	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	75	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	3	0	3	0	0	0	0	0	0	0	4	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	5	26	4	0	0	0	0	0	0	0	0	0	0	12	0	3	14	0
D0573	12	3	1	0	5	2	0	0	5	1	0	2	0	1	2	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	8	30	1	19	4	41	8	13	76	0	9	2	12	0	30	0	1	0	3	0	0	15	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	34	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	11	2	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	5	0	1	1	0	4	1	0	0	1	0	5	6	1	0	0	0	0	0	0	0	0	1	0	21	0	2	9	1
D1164	10	2	2	0	12	3	0	0	10	1	1	0	1	2	1	0	0	0	0	0	1	0	0	9	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	54	19	33	3	16	1	49	8	12	123	0	23	1	17	0	65	1	7	0	1	0	0	34	0	0	1	0	0	0	0	1	0	0	2	0	6	0	0	0	0	0	0	0	0	7	22	0	0	2	3	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	5	0	0	1	2	0	1	0	0	0	5	0	0	0	3	2	0	0	0	12	0	0	0	1	0	1	0	1	1	0	9	5	1	0	0	0	0	0	0	0	0	0	0	20	0	3	21	3
D0824	3	1	2	1	10	0	0	0	1	0	1	0	0	1	1	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	26	11	14	2	9	2	24	4	2	114	0	12	1	13	0	21	0	0	2	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	2	8	0	0	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	2	0	1	0	0	0	0	0	0	0	2	9	7	0	2	0	0	3	0	0	0	0	5	1	0	1	1	0	0	0	0	2	2	2	0	0	0	0	0	1	0	2	1	0	1	3	2	0	0	0	0	0	3	12	1	0	0	0	0	0	0	0	0	3	0	10	1	7	10	1
D0699	9	0	0	0	6	2	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	11	8	8	1	16	0	27	5	6	48	0	9	0	12	0	17	1	1	0	2	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	14	0	0	2	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	1	0	3	0	0	0	0	0	0	0	3	1	0	1	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	8	1	0	0	0	0	0	0	0	0	0	0	12	1	2	0	0	0	0	0	0	0	0	0	23	0	17	11	1
D0777	17	2	1	1	10	5	0	0	5	0	0	1	0	1	4	0	0	0	1	0	0	0	0	3	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	33	25	23	1	39	3	30	7	9	168	0	16	2	9	0	47	0	2	5	1	0	0	28	1	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	14	1	0	3	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	2	0	1	0	0	0	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0	0	2	21	8	0	1	0	0	0	0	0	0	0	4	1	7	1	1	2	1	0	0	0	6	0	1	0	5	1	0	0	0	2	0	1	0	0	2	0	0	0	0	0	12	38	2	1	0	0	0	0	0	0	0	0	0	49	0	3	25	5
D1171	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	3	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
D0975	15	3	1	0	20	7	0	0	14	0	0	0	0	0	1	0	0	0	4	1	0	0	0	3	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	63	22	28	0	42	1	49	10	15	153	0	6	0	10	0	64	0	7	1	0	0	0	39	5	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	7	23	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	15	2	1	0	0	0	0	0	0	0	0	11	0	0	0	1	0	0	0	0	0	8	0	0	0	16	0	0	0	0	12	0	1	0	1	2	0	0	0	0	0	15	106	11	3	0	0	0	0	0	0	0	0	0	47	0	9	57	4
