user_id	count
D0700	194
D1023	659
D0753	392
D0573	333
D1164	444
D0824	300
D0699	237
D0777	535
D1171	10
D0975	624
D0752	710
D1211	462
D0735	746
D1101	434
D0622	489
D1133	21
D0800	181
D0964	330
D0927	319
D1147	3
D0465	944
D0763	531
D1060	786
D0684	61
D0939	138
D1068	467
D1198	20
D1118	53
D0932	272
D0527	506
D0711	456
D0698	6
D0180	30
D1138	589
D0973	568
D0568	661
D1030	216
D1189	579
D0675	279
D0778	248
D0783	385
D0745	24
D0453	346
D1041	215
D0509	736
D0629	255
D0733	887
D0771	169
D0534	718
D0912	587
D0802	330
D0513	370
D1170	624
D0899	269
D0617	295
D0710	381
D1056	91
D0525	454
D1172	150
D0612	489
D0721	124
D0535	26
D0595	8
D1151	311
D0762	52
D1074	459
D1152	83
D1160	6
D1188	602
D0999	366
D0860	531
D0989	312
D1153	73
D1034	225
D1083	65
D0755	306
D0884	1
D1063	341
D0914	517
D0565	432
D1049	14
D0653	449
D0917	330
D0139	721
D0521	390
D0560	269
D0965	263
D0803	381
D0902	163
D0495	325
D0601	535
D1122	102
D1148	168
D0640	597
D1104	15
D0974	373
D0958	755
D0872	643
D0790	90
D0637	258
D0715	409
D0734	187
D0864	205
D0651	725
D0630	678
D1111	167
D0633	278
D0691	0
D0669	482
D0519	646
D0717	30
D0747	352
D1026	245
D0487	275
D0666	470
D1059	579
D0749	415
D1033	256
D0773	135
D0834	97
D1146	64
D0526	449
D0712	252
D0725	351
D0369	251
D0772	92
D0582	526
D1187	789
D0799	126
D0830	500
D0977	372
D0992	256
D0609	124
D1046	535
D0911	232
D0635	144
D0023	632
D0654	843
D0971	152
D0561	433
D1184	585
D1195	422
D0553	278
D1018	245
D0436	147
D1091	29
D0709	221
D0905	369
D0623	565
D0542	68
D0789	321
D0952	466
D0694	161
D1176	200
D0842	171
D0480	382
D1070	114
D1072	381
D0566	352
D1121	116
D0704	228
D1021	709
D0647	567
D1136	340
D0538	87
D1210	564
D0689	113
D0450	580
D0913	138
D0835	333
D0681	345
D0110	417
D1024	80
D0494	334
D1119	82
D0600	186
D0996	56
D0616	431
D0919	342
D0869	567
D0124	4
D1128	15
D0485	576
D0554	267
D1003	7
D0618	708
D1158	93
D0705	122
D0818	131
D0514	100
D1174	509
D0493	647
D0814	456
D0488	322
D0662	432
D0437	17
D0845	9
D0909	330
D0476	307
D1199	308
D1090	302
D0606	115
D1028	4
D0571	302
D1163	30
D0837	643
D0764	372
D0448	391
D0546	316
D0439	3
D0533	398
D0748	484
D0785	540
D0775	160
D1047	28
D1137	9
D0540	572
D0810	426
D0898	99
D0518	234
D0776	875
D0523	169
D0886	558
D0907	311
D0661	202
D0016	350
D1014	680
D0503	584
D1069	215
D0552	57
D1203	8
D0925	103
D0451	523
D0885	642
D0461	667
D0930	416
D1045	87
D0680	716
D0471	652
D0781	40
D1150	474
D1173	35
D0887	32
D0575	594
D0924	518
D1102	415
D0443	358
D0928	339
D0683	707
D1079	396
D0853	434
D1166	234
D0474	317
D0231	233
D1098	901
D0639	506
D0904	413
D0896	223
D1165	0
D0605	231
D0918	410
D0687	73
D0585	707
D0692	545
D0723	25
D1081	414
D0827	440
D1129	63
D0838	269
D1053	273
D1076	64
D0968	602
D0578	706
D0880	67
D0852	267
D0787	526
D1103	524
D1005	51
D0162	25
D1011	568
D0863	9
D0758	463
D1020	293
D0881	5
D0741	499
D0570	188
D0984	244
D0751	264
D0475	166
D0531	596
D0988	169
D0238	697
D0754	565
D0677	460
D0240	661
D1027	428
D0960	379
D1009	733
D0727	235
D1086	383
D0726	82
D1140	20
D0216	203
D1107	6
D0936	203
D0627	383
D1016	451
D1112	345
D0851	236
D1071	23
D0459	466
D0642	291
D1080	8
D1050	522
D1178	6
D1097	90
D0678	417
D0603	358
D0498	308
D0572	818
D0607	323
D0457	280
D0528	341
D0586	713
D1025	286
D0342	964
D0109	692
D0920	290
D1204	6
D0743	376
D0445	295
D0456	693
D0131	217
D1052	571
D0732	976
D1066	334
D1159	400
D1004	172
D0482	102
D1013	458
D1162	399
D1058	502
D0658	414
D0889	295
D0998	55
D0731	56
D0812	222
D0840	488
D0574	256
D0577	851
D0460	809
D0581	332
D0066	425
D0679	819
D0670	215
D0619	39
D0592	121
D0739	212
D1001	48
D1131	266
D1108	38
D0688	846
D0545	289
D0929	242
D0544	650
D0891	440
D1015	137
D0478	315
D0855	421
D0967	130
D0708	539
D0019	580
D1143	542
D0563	399
D1181	258
D1139	212
D0455	264
D0621	198
D0944	513
D0779	645
D0284	502
D0449	4
D0906	226
D0388	382
D0685	219
D1105	485
D1075	253
D1123	698
D0656	311
D0934	254
D0949	199
D0583	307
D1179	65
D0706	87
D0962	796
D0634	747
D0826	145
D1022	62
D0980	841
D1144	54
D1120	156
D0950	245
D0458	655
D0650	447
D0501	534
D0613	370
D0536	205
D0839	284
D0808	93
D0908	273
D0564	428
D0955	270
D0982	44
D1116	20
D1099	52
D0894	535
D0819	168
D0942	414
D0486	362
D0806	569
D0811	165
D0191	733
D0537	326
D0786	64
D0822	319
D0547	1378
D0520	393
D0682	175
D0859	306
D0604	551
D0489	264
D0508	279
D1191	232
D0504	124
D0502	427
D0671	331
D1142	93
D0761	175
D0667	25
D0991	395
D0316	191
D0367	105
D0532	88
D1088	180
D0809	510
D0888	171
D1044	268
D0610	411
D0976	169
D0903	115
D0943	658
D0468	664
D1065	12
D1019	108
D0874	498
D0963	311
D0854	602
D0499	520
D0961	405
D1194	32
D0668	1
D1202	4
D0746	211
D0941	709
D0644	369
D1190	23
D0718	486
D0590	341
D0589	329
D0106	1054
D0959	451
D0549	205
D0515	388
D0483	293
D0646	737
D0516	1092
D1031	210
D1186	7
D0945	326
D0823	313
D0788	86
D0817	637
D0938	114
D0994	124
D0594	367
D0876	81
D1201	383
D0901	230
D0892	96
D1064	910
D0588	275
D0648	221
D0584	315
D0813	541
D0221	202
D0663	260
D0951	79
D0947	110
D0983	340
D0557	279
D0469	158
D0598	136
D0218	769
D0796	563
D0543	382
D0981	12
D0940	391
D0428	13
D0559	316
D0832	83
D0910	211
D1175	335
D0707	737
D1082	351
D0597	135
D0507	678
D1117	72
D0820	195
D0757	603
D0804	796
D1040	471
D1185	148
D0470	533
D1093	73
D1077	211
D0862	236
D0815	372
D0481	603
D1193	508
D1067	625
D0825	496
D0611	339
D0657	659
D0701	225
D0805	471
D0742	151
D0956	346
D0579	42
D0794	266
D0463	367
D0948	73
D1141	356
D0866	3
D0567	717
D1006	98
D0769	141
D1124	20
