user_tag	1	2	3	4	5	6	7	8	9	10	11	12
D0926	143.0	129.0	165.0	246.0	215.0	197.0	375.0	616.0	197.0	37.0	66.0	64.0
D1067	245.0	298.0	431.0	304.0	325.0	125.0	256.0	334.0	77.0			
D0336	185.0	116.0	194.0	83.0	358.0	281.0	202.0	258.0	224.0	199.0	289.0	120.0
D1189	182.0	111.0	181.0	196.0	142.0	116.0	243.0	420.0	287.0	266.0	160.0	197.0
D0471			12.0	435.0	351.0	549.0	691.0	481.0	277.0			
D0024	321.0	307.0	413.0	383.0	375.0							6.0
D0503	133.0	134.0	104.0	115.0	230.0	286.0	208.0	288.0	339.0	371.0	330.0	187.0
D0028				272.0	464.0							
D0506		325.0	424.0	413.0	371.0	307.0	454.0	460.0	134.0			
D0030	226.0	222.0	267.0	222.0	168.0	114.0	164.0	159.0	244.0	295.0	225.0	198.0
D0510	148.0	182.0	151.0	202.0	133.0	181.0	224.0	210.0	459.0	185.0	116.0	163.0
D0511			1.0	399.0	261.0	346.0	372.0	584.0	131.0			
D0513	209.0	283.0	190.0	222.0	227.0	141.0	87.0	82.0	67.0	225.0	196.0	100.0
D0034	193.0	93.0	135.0	195.0	145.0	189.0	120.0	148.0	255.0	278.0	232.0	198.0
D0036	245.0	162.0	314.0	278.0	414.0							312.0
D0517	101.0	76.0	153.0	132.0	181.0	123.0	271.0	220.0	216.0	213.0	147.0	135.0
D0518	125.0	131.0	168.0	138.0	223.0	216.0	247.0	252.0	148.0	71.0	77.0	104.0
D0521	338.0	343.0	335.0	196.0	166.0	223.0	114.0	106.0	55.0		152.0	264.0
D0522	309.0	244.0	200.0	166.0	159.0	153.0	150.0	108.0	100.0	121.0	255.0	239.0
D0042	215.0	147.0	261.0	319.0	329.0	161.0	204.0	243.0	179.0	248.0	251.0	295.0
D0525	21.0	23.0	28.0	11.0	342.0	671.0	380.0	117.0	44.0	30.0	17.0	17.0
D0043	179.0	130.0	188.0	75.0	127.0		154.0	441.0	225.0	212.0	132.0	123.0
D0527	73.0	417.0	391.0	375.0	365.0	243.0	297.0	191.0	39.0			
D0044	321.0	284.0	300.0	437.0	217.0						47.0	269.0
D0531	315.0	182.0	167.0	166.0	115.0	139.0	247.0	185.0	165.0	279.0	141.0	121.0
D0532	1.0	6.0				24.0	52.0	51.0	71.0	42.0	98.0	156.0
D0045	183.0	161.0	190.0	232.0	244.0	132.0	257.0	258.0	247.0	164.0	186.0	160.0
