user_tag	1	2	3	4	5	6	7	8	9	10	11	12
R4704	39.0	16.0	23.0	15.0	17.0	15.0	17.0	22.0	36.0	41.0	36.0	47.0
R4816	27.0	24.0	30.0	13.0	23.0	40.0	22.0	29.0	23.0	25.0	20.0	40.0
R7286	27.0	1.0					3.0	178.0	61.0	46.0	47.0	11.0
R3665	5.0	2.0	4.0	2.0	7.0	2.0	4.0	0.0	6.0	0.0	4.0	0.0
R2222	15.0	14.0	21.0	11.0	7.0	4.0	5.0	6.0	1.0	4.0	10.0	10.0
R2790	11.0	0.0								11.0	7.0	3.0
R6499	4.0	2.0	2.0	1.0	5.0	6.0	8.0	2.0	7.0	3.0	7.0	5.0
R3998	98.0	32.0	21.0	59.0	38.0	101.0	75.0	60.0	64.0	73.0	77.0	94.0
R7114	16.0	1.0					12.0	18.0	9.0	22.0	10.0	21.0
R8186	11.0	11.0	7.0	11.0	13.0	13.0	14.0	15.0	11.0	12.0	9.0	14.0
R7512	229.0	25.0							138.0	173.0	177.0	156.0
R1207	2.0	0.0	3.0	1.0	0.0	0.0	1.0	2.0	3.0	0.0	0.0	0.0
R7406	47.0	3.0										
R1145	34.0	3.0									7.0	17.0
R1578	183.0	18.0									107.0	140.0
R8941	99.0	61.0	19.0	25.0	38.0	25.0	27.0	51.0	78.0	80.0	93.0	59.0
R3637	103.0	69.0	50.0	65.0	59.0	47.0	89.0	30.0	45.0	42.0	40.0	36.0
R5474	39.0	16.0	7.0	18.0	13.0	19.0	33.0	32.0	41.0	21.0	27.0	35.0
R2777	147.0	93.0	104.0	123.0	124.0	124.0	150.0	87.0	43.0	28.0	69.0	116.0
R7047	445.0	64.0										84.0
R0617	52.0	2.0									1.0	18.0
R4261	116.0	15.0				38.0	155.0	126.0	88.0	85.0	109.0	98.0
R3490	5.0	9.0	6.0	11.0	44.0	109.0	62.0	32.0	19.0	11.0	10.0	9.0
R7607	58.0	61.0	42.0	40.0	41.0	51.0	45.0	61.0	30.0	38.0	28.0	23.0
R1227	186.0	7.0									1027.0	540.0
R8285	62.0	10.0										
R4225	82.0	86.0	71.0	65.0	53.0	48.0	18.0	40.0	56.0	85.0	61.0	44.0
R8373	103.0	21.0		95.0	72.0	93.0	97.0	71.0	84.0	52.0	36.0	70.0
R6974	42.0	39.0	44.0	33.0	47.0	44.0	36.0	46.0	44.0	42.0	56.0	39.0
R4648	33.0	40.0	39.0	45.0	46.0	26.0	23.0	35.0	33.0	38.0	67.0	39.0
R3662	44.0	6.0										
R7438	0.0	0.0										0.0
R4798	2.0	5.0	16.0	7.0	10.0	11.0	12.0	11.0	9.0	10.0	2.0	1.0
R8544	77.0	66.0	20.0	29.0	40.0	45.0	36.0	25.0	39.0	42.0	22.0	40.0
R1136	32.0	40.0	59.0	55.0	38.0	29.0	38.0	38.0	60.0	53.0	45.0	42.0
R6726	3.0	0.0	1.0	3.0	3.0	4.0	2.0	2.0	3.0	5.0	1.0	1.0
R7944	45.0	46.0	45.0	59.0	53.0	70.0	42.0	46.0	43.0	46.0	27.0	38.0
R5946	174.0	15.0								27.0	178.0	186.0
R7757	20.0	33.0	59.0	38.0	7.0	18.0	29.0	47.0	43.0	19.0	93.0	35.0
R6834	51.0	21.0										16.0
R0543	152.0	10.0										44.0
R3180	17.0	0.0							9.0	16.0	5.0	3.0
R1525	18.0	9.0	18.0	17.0	12.0	21.0	24.0	1.0	48.0	20.0	24.0	12.0
R7540	8.0	5.0							126.0	314.0	181.0	108.0
R5043	44.0	36.0	51.0	38.0	72.0	34.0	22.0	20.0	30.0	16.0	17.0	26.0
R6325	4.0	7.0	17.0	6.0	20.0	20.0	7.0	16.0	6.0	16.0	14.0	5.0
R2436	75.0	44.0	62.0	42.0	40.0	25.0	64.0	71.0	116.0	41.0	59.0	59.0
R1481	150.0	9.0							133.0	118.0	93.0	100.0
R1589	29.0	37.0	18.0	29.0	42.0	30.0	26.0	67.0	44.0	34.0	42.0	29.0
R2567			15.0	15.0	22.0	29.0	13.0	19.0	19.0	28.0	24.0	15.0
R4891	4.0	7.0	4.0	8.0	15.0	17.0	18.0	5.0	8.0	13.0	14.0	9.0
R8869	103.0	0.0								20.0	207.0	261.0
R1581	3.0	2.0							14.0	5.0	8.0	3.0
R1014	42.0	58.0	54.0	59.0	42.0	31.0	66.0	41.0	33.0	53.0	62.0	63.0
R3290	21.0	30.0	39.0	17.0	18.0	27.0	24.0	36.0	34.0	40.0	51.0	24.0
R2782	737.0	67.0										256.0
R0436	216.0	9.0									127.0	218.0
R1712	2.0	1.0	9.0	9.0	6.0	1.0	3.0	5.0	3.0	7.0	2.0	4.0
R3328	98.0	47.0	30.0	83.0	57.0	95.0	143.0	76.0	71.0	50.0	91.0	52.0
R6877	31.0	3.0	3.0	42.0	39.0	59.0	50.0	29.0	26.0	38.0	45.0	43.0
R7905	113.0	51.0	71.0	49.0	41.0	56.0	62.0	60.0	38.0	67.0	77.0	75.0
R4253	17.0	10.0	17.0	44.0	35.0	31.0	49.0	20.0	26.0	17.0	37.0	20.0
R6608	118.0	41.0	73.0	73.0	52.0	93.0	106.0	64.0	69.0	89.0	48.0	46.0
R5016	106.0	6.0										23.0
R4142	31.0	14.0	36.0	18.0	33.0	13.0	34.0	9.0	15.0	18.0	18.0	19.0
R6922	73.0	44.0	43.0	61.0	61.0	43.0	83.0	49.0	25.0	25.0	16.0	27.0
R5732	3.0	4.0	8.0	6.0	11.0	3.0	2.0	2.0	4.0	2.0	13.0	16.0
R1827	25.0	9.0										
R0310	230.0	7.0							5.0	139.0	150.0	260.0
R3999	58.0	21.0	13.0	23.0	33.0	45.0	34.0	54.0	45.0	32.0	51.0	45.0
R0554	100.0	14.0								22.0	124.0	109.0
R2412	41.0	10.0	13.0	16.0	16.0	29.0	22.0	19.0	17.0	36.0	57.0	51.0
R0971	150.0	18.0								27.0	130.0	177.0
R3110	7.0	8.0	15.0	26.0	10.0	20.0	44.0	27.0	16.0	15.0	6.0	17.0
R1716	20.0	15.0	23.0	26.0	34.0	36.0	39.0	45.0	42.0	34.0	58.0	33.0
R0537	208.0	26.0								30.0	201.0	191.0
R4332	51.0	19.0	17.0	42.0	46.0	29.0	14.0	28.0	25.0	6.0	101.0	59.0
R7308	10.0	1.0	3.0	5.0	7.0	3.0	11.0	19.0	8.0	19.0	16.0	8.0
R2102	356.0	13.0						87.0	541.0	117.0	6.0	65.0
R0308				5.0	6.0	1.0	1.0	0.0	5.0	8.0	1.0	1.0
R2218	201.0	30.0									181.0	243.0
R7634	5.0	0.0		0.0	4.0	4.0	1.0	4.0	3.0	4.0	3.0	2.0
R3592	27.0	19.0	15.0	6.0	14.0	19.0	21.0	9.0	9.0	32.0	18.0	28.0
R5428	36.0	22.0	16.0	15.0	24.0	23.0	16.0	17.0	55.0	44.0	18.0	24.0
R7812	24.0	10.0	22.0	26.0	23.0	38.0	50.0	44.0	50.0	36.0	27.0	29.0
R2006	106.0	9.0								55.0	88.0	104.0
R7680	74.0	16.0							46.0	55.0	89.0	55.0
R4776	55.0	31.0	25.0	79.0	94.0	61.0	62.0	47.0	64.0	67.0	43.0	48.0
R5569	440.0	44.0										167.0
R4734	120.0	10.0									155.0	84.0
R7089	144.0	4.0									24.0	94.0
R0789	171.0	15.0								73.0	144.0	138.0
R1336	111.0	14.0							44.0	118.0	123.0	100.0
R0467	59.0	43.0	45.0	47.0	30.0	63.0	39.0	34.0	54.0	22.0	26.0	25.0
R7112	19.0	3.0	10.0	8.0	1.0	9.0	8.0	14.0	25.0	32.0	20.0	15.0
R4786	27.0	60.0	40.0	67.0	43.0	39.0	25.0	8.0	27.0	18.0	35.0	50.0
R3882	36.0	33.0	15.0	16.0	11.0	17.0	6.0	19.0	37.0	20.0	34.0	37.0
R3726	1.0	0.0								1.0	2.0	2.0
R4751	4.0	0.0				7.0	3.0	6.0	4.0	5.0	7.0	12.0
R8288	22.0	10.0	38.0	25.0	11.0	13.0	26.0	31.0	19.0	10.0	24.0	13.0
R1435	117.0	48.0	33.0	37.0	24.0	20.0	61.0	41.0	68.0	45.0	33.0	105.0
R0873	23.0	28.0	28.0	23.0	12.0	23.0	12.0	55.0	16.0	36.0	32.0	23.0
R8028	396.0	37.0										161.0
R2463	35.0	12.0	45.0	50.0	15.0	42.0	31.0	27.0	35.0	20.0	36.0	45.0
R6563	37.0	5.0						36.0	31.0	28.0	26.0	64.0
R7637	30.0	23.0	17.0	40.0	32.0	50.0	66.0	77.0	71.0	61.0	47.0	52.0
R1594	145.0	9.0									121.0	156.0
R8927	40.0	2.0	13.0	26.0	19.0	32.0	37.0	39.0	33.0	53.0	38.0	49.0
R4143	71.0	81.0	36.0	59.0	59.0	52.0	60.0	57.0	61.0	61.0	93.0	77.0
R3272	64.0	36.0	24.0	32.0	34.0	21.0	39.0	51.0	21.0	33.0	39.0	36.0
R6432	5.0	13.0	18.0	13.0	17.0	17.0	11.0	11.0	5.0	20.0	7.0	3.0
R5305	339.0											182.0
R1590	35.0	2.0				143.0	105.0	69.0	66.0	66.0	21.0	94.0
R2182	11.0	6.0	7.0	7.0	12.0	43.0	9.0	23.0	174.0	34.0	9.0	12.0
R0020	130.0	17.0						61.0	89.0	71.0	83.0	72.0
R7274	39.0	4.0										36.0
R7479	33.0	16.0	20.0	24.0	19.0	32.0	20.0	33.0	33.0	26.0	36.0	37.0
R4509	13.0	31.0	16.0	11.0	30.0	30.0	34.0	75.0	34.0	16.0	28.0	19.0
R0676	90.0	79.0	45.0	65.0	57.0	38.0	80.0	62.0	40.0	38.0	69.0	86.0
R8169	42.0	73.0	46.0	48.0	69.0	44.0	41.0	74.0	53.0	72.0	55.0	41.0
R7725	28.0	20.0	10.0	16.0	10.0	20.0	12.0	29.0	17.0	40.0	23.0	21.0
R7962	63.0	31.0										
R5409	108.0	71.0	25.0	13.0	19.0	38.0	47.0	85.0	75.0	93.0	80.0	70.0
R2085	51.0	32.0	34.0	35.0	45.0	99.0	67.0	47.0	144.0	57.0	53.0	43.0
R2101	64.0	4.0										3.0
R5197	32.0	44.0	27.0	16.0	21.0	22.0	14.0	5.0	10.0	14.0	2.0	3.0
R0593	27.0	15.0	13.0	21.0	27.0	34.0	39.0	24.0	21.0	23.0	13.0	27.0
R5063	126.0	9.0								37.0	163.0	126.0
R4017	0.0										0.0	2.0
R1534	59.0	17.0	18.0	13.0	27.0	27.0	24.0	34.0	49.0	23.0	25.0	49.0
R8534	143.0	10.0										71.0
R8520	82.0	65.0	54.0	43.0	30.0	33.0	35.0	57.0	24.0	41.0	66.0	74.0
R4095	6.0	5.0		24.0	36.0	24.0	31.0	12.0	18.0	34.0	33.0	29.0
R0391	121.0	60.0	45.0	45.0	37.0	43.0	47.0	49.0	97.0	82.0	54.0	46.0
R7059	186.0	15.0									104.0	149.0
R1088	22.0	1.0										
R3022	78.0	39.0	43.0	35.0	23.0	43.0	58.0	53.0	37.0	60.0	34.0	91.0
R7787	44.0	52.0	37.0	38.0	33.0	28.0	18.0	16.0	32.0	26.0	17.0	35.0
R5403	6.0	1.0	0.0	0.0	3.0	10.0	17.0	19.0	28.0	18.0	17.0	19.0
R7433	58.0	2.0					12.0	84.0	138.0	76.0	36.0	38.0
R0692	205.0	24.0									137.0	176.0
R2055	540.0	33.0										
R2324	112.0	3.0				105.0	135.0	95.0	94.0	133.0	107.0	52.0
R6040	189.0	11.0								96.0	152.0	169.0
R5980	138.0	0.0							159.0	106.0	109.0	89.0
R5969	35.0	9.0	15.0	7.0	14.0	10.0	15.0	10.0	16.0	14.0	1.0	24.0
R1263	559.0	144.0										
R5644	209.0	11.0						41.0	105.0	59.0	165.0	109.0
R6554	34.0	3.0					26.0	34.0	30.0	31.0	30.0	32.0
R5417	109.0	7.0										47.0
R6777	0.0	0.0								1.0	0.0	0.0
R2991	13.0	73.0	52.0	3.0	26.0	39.0	48.0	1.0	24.0	26.0	31.0	70.0
R4325	105.0	11.0							70.0	114.0	112.0	180.0
R3600	21.0	48.0										
R6104	22.0	17.0	16.0	4.0	25.0	27.0	24.0	18.0	8.0	10.0	19.0	22.0
R8074	34.0	11.0			49.0	86.0	61.0	51.0	39.0	37.0	53.0	42.0
R3705	48.0	33.0	31.0	29.0	59.0	34.0	60.0	38.0	58.0	55.0	57.0	63.0
R3003	24.0	27.0	13.0	1.0	7.0	24.0	19.0	15.0	34.0	18.0	16.0	10.0
R2392	1.0	0.0	1.0	0.0	0.0	1.0	0.0		1.0	0.0	0.0	0.0
R8251	45.0	78.0	55.0	36.0	39.0	40.0	5.0	2.0	14.0	7.0	2.0	38.0
R3432	132.0	18.0								135.0	113.0	102.0
R0063	20.0	5.0					99.0	102.0	105.0	88.0	93.0	45.0
R1277	159.0	34.0						6.0	71.0	87.0	67.0	106.0
R0807	404.0	28.0										
R1171	61.0	25.0	29.0	30.0	39.0	42.0	38.0	28.0	60.0	36.0	45.0	57.0
