user_id	count
R0002	107
R0003	775
R0004	2621
R0005	2829
R0006	1679
R0007	108
R0008	31
R0009	19
R0010	761
R0011	120
R0012	1079
R0013	465
R0014	2708
R0015	20
R0016	45
R0017	1
R0018	5
R0019	1973
R0020	2622
R0021	3181
R0022	333
R0023	5
R0024	87
R0025	2308
R0026	960
R0027	2110
R0028	1489
R0029	660
R0030	395
R0031	259
R0032	69
R0033	1160
R0034	24
R0035	960
R0036	1147
R0037	214
R0038	1326
R0039	10
R0041	2731
R0042	1698
R0043	1614
R0044	581
R0045	8
R0046	1481
R0047	301
R0048	1875
R0049	12
R0050	1005
R0051	709
R0052	1830
R0053	14
R0054	289
R0055	152
R0056	92
R0057	895
R0058	14
R0059	3
R0060	1075
R0061	430
R0062	130
R0063	1554
R0064	2770
R0065	493
R0066	34
R0067	1442
R0068	432
R0069	5
R0070	2637
R0071	3225
R0072	1428
R0073	114
R0074	1229
R0075	55
R0076	3050
R0077	8
R0078	1966
R0079	1974
R0080	17
R0081	721
R0082	3185
R0083	1464
R0084	11
R0085	345
R0086	1279
R0087	1
R0088	676
R0089	2225
R0090	923
R0091	2577
R0092	2560
R0093	393
R0095	79
R0096	1990
R0097	99
R0098	106
R0099	244
R0100	2680
R0101	1673
R0102	76
R0103	59
R0104	2893
R0105	873
R0106	48
R0107	936
R0108	2240
R0109	473
R0110	1420
R0111	227
R0112	11
R0113	6
R0114	433
R0115	10
R0117	110
R0118	131
R0119	115
R0120	283
R0121	966
R0122	170
R0123	13
R0124	181
R0125	27
R0126	839
R0127	145
R0128	1690
R0129	1112
R0130	43
R0131	2776
R0132	1769
R0133	2004
R0134	15
R0135	1316
R0136	110
R0137	1405
R0138	2270
R0139	2715
R0140	417
R0141	1197
R0142	13
R0143	466
R0145	78
R0146	72
R0147	27
R0149	47
R0150	179
R0151	2247
R0152	1897
R0153	17
R0154	247
R0155	1111
R0156	351
R0157	2758
R0158	1327
R0159	1872
R0160	3020
R0161	1712
R0162	3092
R0163	46
R0164	636
R0165	1696
R0167	1474
R0168	3066
R0170	514
R0172	1549
R0173	2553
R0174	741
R0175	1603
R0176	1525
R0177	1
R0178	45
R0179	944
R0180	1350
R0181	53
R0182	58
R0183	1765
R0184	180
R0185	2780
R0186	895
R0187	1097
R0188	2558
R0189	1668
R0190	2916
R0191	1714
R0193	131
R0194	2201
R0195	1728
R0196	437
R0197	2170
R0198	149
R0199	937
R0200	317
R0201	2781
R0202	2
R0203	2355
R0204	3
R0205	34
R0206	1947
R0207	454
R0208	2500
R0209	507
R0210	950
R0211	3238
R0212	2222
R0213	1614
R0214	1324
R0215	1010
R0216	1772
R0217	64
R0219	2478
R0220	621
R0221	318
R0222	16
R0223	4
R0224	1436
R0225	15
R0226	2135
R0227	1365
R0228	1588
R0229	49
R0230	432
R0231	5
R0232	648
R0233	1990
R0234	3204
R0235	14
R0236	315
R0237	103
R0238	17
R0239	753
R0240	1761
R0241	14
R0242	544
R0243	65
R0244	1346
R0245	318
R0246	149
R0247	90
R0248	575
R0249	140
R0250	1782
R0251	1402
R0252	1648
R0253	920
R0254	16
R0255	1669
R0256	336
R0257	61
R0258	64
R0259	291
R0260	108
R0261	20
R0262	2065
R0263	274
R0264	2450
R0265	424
R0266	2725
R0267	95
R0268	1060
R0269	196
R0270	15
R0271	640
