user_id	count
R0002	14
R0003	39
R0004	412
R0005	508
R0006	224
R0007	17
R0008	4
R0009	0
R0010	357
R0011	23
R0012	226
R0013	32
R0014	588
R0015	0
R0016	8
R0017	0
R0018	0
R0019	578
R0020	523
R0021	191
R0022	85
R0023	0
R0024	2
R0025	623
R0026	163
R0027	609
R0028	325
R0029	112
R0030	54
R0031	55
R0032	7
R0033	253
R0034	3
R0035	215
R0036	291
R0037	22
R0038	428
R0039	0
R0041	607
R0042	309
R0043	166
R0044	148
R0045	0
R0046	336
R0047	72
R0048	324
R0049	4
R0050	161
R0051	225
R0052	56
R0053	1
R0054	38
R0055	23
R0056	8
R0057	219
R0058	1
R0059	0
R0060	212
R0061	130
R0062	3
R0063	557
R0064	797
R0065	20
R0066	5
R0067	594
R0068	64
R0069	0
R0070	786
R0071	495
R0072	372
R0073	4
R0074	314
R0075	0
R0076	1278
R0077	0
R0078	554
R0079	302
R0080	1
R0081	92
R0082	562
R0083	651
R0084	1
R0085	62
R0086	269
R0087	0
R0088	93
R0089	292
R0090	116
R0091	361
R0092	760
R0093	95
R0095	32
R0096	371
R0097	5
R0098	35
R0099	55
R0100	395
R0101	243
R0102	1
R0103	5
R0104	749
R0105	264
R0106	20
R0107	282
R0108	504
R0109	48
R0110	126
R0111	25
R0112	2
R0113	0
R0114	60
R0115	0
R0117	11
R0118	10
R0119	22
R0120	56
R0121	216
R0122	34
R0123	0
R0124	21
R0125	3
R0126	107
R0127	20
R0128	438
R0129	174
R0130	6
R0131	520
R0132	412
R0133	435
R0134	0
R0135	196
R0136	45
R0137	313
R0138	320
R0139	574
R0140	103
R0141	222
R0142	1
R0143	66
R0145	10
R0146	26
R0147	1
R0149	10
R0150	11
R0151	547
R0152	370
R0153	5
R0154	42
R0155	116
R0156	62
R0157	949
R0158	428
R0159	293
R0160	878
R0161	449
R0162	86
R0163	18
R0164	92
R0165	480
R0167	285
R0168	893
R0170	66
R0172	266
R0173	380
R0174	112
R0175	346
R0176	340
R0177	0
R0178	0
R0179	412
R0180	327
R0181	7
R0182	1
R0183	389
R0184	35
R0185	762
R0186	225
R0187	105
R0188	413
R0189	496
R0190	528
R0191	275
R0193	14
R0194	641
R0195	590
R0196	94
R0197	414
R0198	19
R0199	128
R0200	91
R0201	844
R0202	0
R0203	739
R0204	0
R0205	2
R0206	576
R0207	182
R0208	567
R0209	76
R0210	215
R0211	389
R0212	459
R0213	172
R0214	348
R0215	184
R0216	209
R0217	0
R0219	664
R0220	75
R0221	16
R0222	1
R0223	0
R0224	243
R0225	0
R0226	427
R0227	278
R0228	285
R0229	10
R0230	88
R0231	0
R0232	203
R0233	435
R0234	75
R0235	3
R0236	34
R0237	8
R0238	3
R0239	1
R0240	459
R0241	2
R0242	158
R0243	15
R0244	463
R0245	0
R0246	43
R0247	9
R0248	65
R0249	4
R0250	385
R0251	341
R0252	345
R0253	174
R0254	1
R0255	218
R0256	61
R0257	18
R0258	7
R0259	36
R0260	8
R0261	4
R0262	419
R0263	20
R0264	395
R0265	72
R0266	1072
R0267	6
R0268	181
R0269	30
R0270	2
R0271	107
R0272	59
R0273	8
R0274	219
R0275	17
R0276	44
R0277	63
R0278	133
R0279	403
R0280	207
R0281	390
R0282	94
R0283	38
R0284	259
R0285	519
R0286	33
R0287	100
R0288	15
R0289	3
R0290	40
R0291	1
R0292	407
R0293	223
R0294	0
R0295	104
R0297	13
R0298	20
R0299	831
R0300	10
R0301	4
R0302	120
R0303	1543
R0304	18
R0305	998
R0306	3
R0307	3
R0308	28
R0309	364
R0310	791
R0311	0
R0312	0
R0313	52
R0314	81
R0315	28
R0316	33
R0318	49
R0319	70
R0320	0
R0321	299
R0322	256
R0323	117
R0324	48
R0325	768
R0326	1
R0327	33
R0328	196
R0329	0
R0330	121
R0331	6
R0332	478
R0333	188
R0334	6
R0335	274
R0336	83
R0337	245
R0338	4
R0339	350
R0340	0
R0341	150
R0342	0
R0343	156
R0344	69
R0347	13
R0348	798
R0349	0
R0350	36
R0351	6
R0352	2
R0353	0
R0354	35
R0355	40
R0356	419
R0357	1
R0358	67
R0359	10
R0360	59
R0361	1
R0362	230
R0363	664
R0364	601
R0365	1015
R0366	444
R0367	8
R0368	37
R0369	821
R0370	1438
R0371	67
R0372	542
R0373	0
R0374	272
R0376	53
R0377	746
R0379	897
R0380	58
R0381	50
R0382	0
R0383	83
R0384	68
R0385	17
R0386	579
R0387	283
R0388	66
R0389	186
R0390	23
R0391	726
R0392	469
R0393	548
R0394	15
R0396	0
R0397	91
R0398	51
R0399	14
R0400	179
R0401	34
R0403	1
R0404	39
R0405	90
R0406	40
R0407	417
R0408	10
R0409	241
R0410	434
R0411	74
R0412	41
R0413	1
R0414	343
R0415	157
R0416	1
R0417	206
R0418	349
R0419	273
R0421	616
R0422	242
R0423	124
R0424	214
R0425	266
R0426	172
R0427	13
R0428	3
R0429	74
R0430	0
R0431	8
R0432	149
R0433	634
R0434	346
R0435	309
R0436	570
R0437	315
R0438	114
R0439	75
R0440	288
R0441	307
R0442	0
R0443	0
R0444	0
R0446	776
R0447	0
R0448	153
R0449	40
R0450	26
R0451	5
R0452	1
R0453	0
R0454	189
R0455	0
R0456	30
R0458	67
R0459	460
R0460	290
R0461	65
R0463	109
R0464	66
R0465	17
R0466	388
R0467	487
R0468	296
R0469	16
R0470	36
R0471	192
R0472	4
R0473	268
R0474	436
R0475	7
R0476	285
R0477	0
R0478	8
R0479	517
R0480	764
R0481	2
R0482	344
R0483	222
R0484	4
R0485	5
R0486	470
R0487	106
R0488	130
R0489	0
R0490	3
R0491	289
R0492	434
R0493	690
R0494	95
R0495	0
R0496	0
R0497	4
R0498	49
R0499	0
R0500	258
R0501	33
R0502	883
R0503	3
R0504	56
R0505	301
R0506	215
R0507	5
R0508	211
R0509	591
R0510	340
R0512	46
R0513	253
R0514	179
R0515	219
R0516	283
R0517	152
R0518	143
R0519	201
R0520	469
R0521	505
R0522	32
R0523	405
R0524	352
R0525	210
R0526	280
R0527	361
R0529	198
R0530	2
R0531	183
R0532	6
R0533	274
R0534	205
R0535	0
R0536	79
R0537	656
R0538	2
R0539	26
R0540	3
R0541	1
R0542	1085
R0543	206
R0544	97
R0545	3
R0546	56
R0547	5
R0548	515
R0549	33
R0550	97
R0551	5
R0552	617
R0553	4
R0554	369
R0555	376
R0556	97
R0557	0
R0558	0
R0559	0
R0560	2
R0561	1
R0562	27
R0563	11
R0564	405
R0565	95
R0566	382
R0567	250
R0568	339
R0569	151
R0570	60
R0571	539
R0572	302
R0573	536
R0574	93
R0575	304
R0576	0
R0577	339
R0578	2
R0579	32
R0580	0
R0581	15
R0582	742
R0583	1
R0584	44
R0585	1
R0586	583
R0587	149
R0588	685
R0589	450
R0590	195
R0591	0
R0592	540
R0593	284
R0594	277
R0595	90
R0596	61
R0597	488
R0599	277
R0600	109
R0601	860
R0602	1
R0603	2
R0604	90
R0605	83
R0606	263
R0607	527
R0608	187
R0609	169
R0610	100
R0611	83
R0613	0
R0614	1077
R0615	16
R0616	56
R0617	73
R0618	680
R0619	0
R0620	161
R0621	43
R0622	1
R0623	0
R0624	45
R0625	2
R0626	241
R0627	325
R0628	356
R0629	24
R0630	117
R0631	114
R0632	4
R0633	431
R0634	146
R0635	1
R0636	17
R0637	141
R0638	168
R0639	116
R0640	200
R0641	477
R0642	194
R0643	0
R0644	191
R0645	290
R0646	11
R0647	412
R0648	53
R0649	65
R0650	34
R0651	0
R0652	748
R0654	76
R0655	177
R0656	229
R0659	0
R0660	5
R0661	665
R0662	0
R0663	98
R0664	343
R0665	426
R0666	0
R0667	323
R0668	36
R0669	411
R0670	1
R0671	0
R0672	33
R0673	0
R0674	2
R0675	38
R0676	749
R0677	2
R0678	67
R0679	37
R0680	1
R0681	0
R0682	10
R0683	141
R0684	209
R0685	457
R0686	15
R0687	75
R0688	61
R0689	445
R0690	0
R0691	485
R0692	542
R0693	30
R0694	113
R0695	100
R0696	304
R0697	491
R0698	113
R0699	288
R0700	33
R0701	5
R0702	49
R0703	172
R0704	127
R0705	57
R0706	80
R0708	355
R0709	2
R0710	590
R0712	320
R0713	0
R0714	234
R0715	124
R0716	9
R0717	107
R0718	188
R0719	0
R0720	7
R0721	109
R0722	359
R0723	438
R0724	64
R0725	0
R0726	0
R0727	3
R0728	1034
R0729	6
R0730	4
R0731	0
R0732	85
R0733	15
R0734	34
R0735	111
R0736	246
R0737	361
R0738	50
R0739	5
R0740	340
R0741	3
R0742	89
R0743	0
R0744	401
R0745	243
R0746	1021
R0747	321
R0748	115
R0749	524
R0750	65
R0751	174
R0752	526
R0753	607
R0754	107
R0755	35
R0756	35
R0757	5
R0758	0
R0759	76
R0760	8
R0761	0
R0762	13
R0763	469
R0764	0
R0765	155
R0766	495
R0767	3
R0768	615
R0769	174
R0770	281
R0771	495
R0772	0
R0773	166
R0774	5
R0775	493
R0776	16
R0777	217
R0778	5
R0779	23
R0780	0
R0781	2
R0782	428
R0783	189
R0784	0
R0785	202
R0786	74
R0787	2
R0788	118
R0789	541
R0790	4
R0791	1
R0792	400
R0793	40
R0794	674
R0795	95
R0796	2
R0797	236
R0798	174
R0799	0
R0800	240
R0801	16
R0802	53
R0803	1
R0804	1
R0805	742
R0806	351
R0807	432
R0808	520
R0809	13
R0810	122
R0811	33
R0812	85
R0813	207
R0814	2
R0815	366
R0816	51
R0817	139
R0818	235
R0819	282
R0820	447
R0821	375
R0822	2
R0823	0
R0824	636
R0825	0
R0826	24
R0827	235
R0828	124
