user_id	count
R0002	14
R0003	39
R0004	412
R0005	487
R0006	219
R0007	17
R0008	4
R0009	0
R0010	351
R0011	20
R0012	216
R0013	31
R0014	581
R0015	0
R0016	8
R0017	0
R0018	0
R0019	532
R0020	495
R0021	191
R0022	82
R0023	0
R0024	2
R0025	615
R0026	153
R0027	590
R0028	319
R0029	105
R0030	52
R0031	50
R0032	7
R0033	239
R0034	3
R0035	206
R0036	277
R0037	22
R0038	422
R0039	0
R0041	577
R0042	298
R0043	164
R0044	137
R0045	0
R0046	328
R0047	70
R0048	307
R0049	4
R0050	159
R0051	224
R0052	56
R0053	1
R0054	38
R0055	23
R0056	7
R0057	212
R0058	1
R0059	0
R0060	211
R0061	127
R0062	3
R0063	541
R0064	775
R0065	20
R0066	4
R0067	565
R0068	50
R0069	0
R0070	776
R0071	370
R0072	360
R0073	4
R0074	295
R0075	0
R0076	1278
R0077	0
R0078	534
R0079	293
R0080	1
R0081	88
R0082	552
R0083	646
R0084	1
R0085	62
R0086	259
R0087	0
R0088	86
R0089	281
R0090	112
R0091	351
R0092	717
R0093	93
R0095	31
R0096	362
R0097	5
R0098	35
R0099	55
R0100	379
R0101	239
R0102	1
R0103	5
R0104	739
R0105	264
R0106	20
R0107	281
R0108	496
R0109	48
R0110	118
R0111	25
R0112	1
R0113	0
R0114	60
R0115	0
R0117	11
R0118	10
R0119	21
R0120	55
R0121	212
R0122	34
R0123	0
R0124	21
R0125	3
R0126	106
R0127	19
R0128	434
R0129	164
R0130	6
R0131	507
R0132	396
R0133	432
R0134	0
R0135	195
R0136	45
R0137	297
R0138	313
R0139	561
R0140	101
R0141	210
R0142	1
R0143	63
R0145	10
R0146	25
R0147	1
R0149	10
R0150	10
R0151	503
R0152	356
R0153	5
R0154	41
R0155	109
R0156	60
R0157	935
R0158	413
R0159	285
R0160	867
R0161	442
R0162	86
R0163	17
R0164	85
R0165	478
R0167	276
R0168	883
R0170	65
R0172	260
R0173	372
R0174	112
R0175	344
R0176	333
R0177	0
R0178	0
R0179	406
R0180	324
R0181	7
R0182	1
R0183	372
R0184	35
R0185	744
R0186	211
R0187	105
R0188	404
R0189	491
R0190	528
R0191	272
R0193	14
R0194	629
R0195	579
R0196	91
R0197	409
R0198	19
R0199	125
R0200	88
R0201	818
R0202	0
R0203	717
R0204	0
R0205	2
R0206	565
R0207	177
R0208	554
R0209	76
R0210	205
R0211	389
R0212	425
R0213	170
R0214	346
R0215	184
R0216	209
R0217	0
R0219	651
R0220	72
R0221	16
R0222	1
R0223	0
R0224	233
R0225	0
R0226	401
R0227	272
R0228	282
R0229	9
R0230	84
R0231	0
R0232	202
R0233	411
R0234	74
R0235	3
R0236	33
R0237	8
R0238	3
R0239	1
R0240	448
R0241	2
R0242	158
R0243	15
R0244	443
R0245	0
R0246	43
R0247	8
R0248	63
R0249	4
R0250	371
R0251	333
R0252	340
R0253	170
R0254	1
R0255	201
R0256	59
R0257	18
R0258	7
R0259	35
R0260	7
R0261	4
R0262	416
R0263	20
R0264	371
R0265	70
R0266	1051
R0267	6
R0268	174
R0269	30
R0270	2
R0271	107
R0272	58
R0273	8
R0274	217
R0275	17
R0276	42
R0277	62
R0278	130
R0279	399
R0280	201
R0281	367
R0282	93
R0283	36
R0284	253
R0285	512
R0286	32
R0287	100
R0288	15
R0289	3
R0290	40
R0291	1
R0292	392
R0293	212
R0294	0
R0295	104
R0297	13
R0298	17
R0299	795
R0300	9
R0301	4
R0302	120
R0303	1539
R0304	18
R0305	897
R0306	2
R0307	2
R0308	28
R0309	364
R0310	764
R0311	0
R0312	0
R0313	51
R0314	80
R0315	28
R0316	30
R0318	47
R0319	69
R0320	0
R0321	287
R0322	250
R0323	117
R0324	45
R0325	766
R0326	1
R0327	31
R0328	189
R0329	0
R0330	118
R0331	6
R0332	473
R0333	188
R0334	5
R0335	270
R0336	83
R0337	244
R0338	4
R0339	331
R0340	0
R0341	150
R0342	0
R0343	156
R0344	68
R0347	12
R0348	795
R0349	0
R0350	36
R0351	6
R0352	2
R0353	0
R0354	35
R0355	37
R0356	412
R0357	1
R0358	62
R0359	10
R0360	58
R0361	1
R0362	226
R0363	664
R0364	601
R0365	1013
R0366	426
R0367	8
R0368	37
R0369	775
R0370	1429
R0371	66
R0372	534
R0373	0
R0374	270
R0376	52
R0377	722
R0379	881
R0380	54
R0381	49
R0382	0
R0383	83
R0384	65
R0385	16
R0386	554
R0387	281
R0388	66
R0389	186
R0390	22
R0391	711
R0392	458
R0393	531
R0394	14
R0396	0
R0397	81
R0398	51
R0399	14
R0400	163
R0401	34
R0403	1
R0404	37
R0405	88
R0406	38
R0407	400
R0408	10
R0409	236
R0410	429
R0411	71
R0412	40
R0413	1
R0414	343
R0415	157
R0416	1
R0417	197
R0418	344
R0419	272
R0421	595
R0422	241
R0423	119
R0424	207
R0425	264
R0426	172
R0427	13
R0428	3
R0429	71
R0430	0
R0431	7
R0432	146
R0433	615
R0434	344
R0435	299
R0436	570
R0437	313
R0438	113
R0439	75
R0440	280
R0441	303
R0442	0
R0443	0
R0444	0
R0446	764
R0447	0
R0448	152
R0449	39
R0450	26
R0451	4
R0452	1
R0453	0
R0454	188
R0455	0
R0456	27
R0458	66
R0459	454
R0460	287
R0461	60
R0463	109
R0464	65
R0465	17
R0466	385
R0467	462
R0468	295
R0469	16
R0470	36
R0471	188
R0472	4
R0473	257
R0474	434
R0475	7
R0476	285
R0477	0
R0478	8
R0479	506
R0480	744
R0481	2
R0482	338
R0483	220
R0484	4
R0485	5
R0486	467
R0487	104
R0488	128
R0489	0
R0490	3
R0491	285
R0492	410
R0493	657
R0494	91
R0495	0
R0496	0
R0497	4
R0498	46
R0499	0
R0500	249
R0501	32
R0502	880
R0503	3
R0504	54
R0505	290
R0506	211
R0507	5
R0508	204
R0509	579
R0510	328
R0512	44
R0513	250
R0514	177
R0515	215
R0516	276
R0517	150
R0518	142
R0519	201
R0520	469
R0521	493
R0522	29
R0523	401
R0524	352
R0525	204
R0526	268
R0527	359
R0529	191
R0530	2
R0531	180
R0532	6
R0533	274
R0534	202
R0535	0
R0536	77
R0537	630
R0538	2
R0539	26
R0540	3
R0541	1
R0542	1077
R0543	205
R0544	96
R0545	3
R0546	56
R0547	5
R0548	504
R0549	32
R0550	96
R0551	5
R0552	613
R0553	4
R0554	359
R0555	360
R0556	94
R0557	0
R0558	0
R0559	0
R0560	2
R0561	1
R0562	27
R0563	11
R0564	399
R0565	94
R0566	373
R0567	248
R0568	328
R0569	150
R0570	59
R0571	521
R0572	302
R0573	521
R0574	90
R0575	285
R0576	0
R0577	334
R0578	2
R0579	31
R0580	0
R0581	15
R0582	729
R0583	1
R0584	43
R0585	1
R0586	575
R0587	143
R0588	669
R0589	440
R0590	186
R0591	0
R0592	535
R0593	276
R0594	270
R0595	87
R0596	60
R0597	470
R0599	277
R0600	109
R0601	811
R0602	1
R0603	2
R0604	88
R0605	83
R0606	256
R0607	521
R0608	177
R0609	168
R0610	52
R0611	82
R0613	0
R0614	1077
R0615	15
R0616	53
R0617	73
R0618	670
R0619	0
R0620	157
R0621	42
R0622	1
R0623	0
R0624	44
R0625	1
R0626	238
R0627	301
R0628	348
R0629	23
R0630	107
R0631	109
R0632	4
R0633	412
R0634	144
R0635	1
R0636	15
R0637	140
R0638	168
R0639	116
R0640	200
R0641	471
R0642	186
R0643	0
R0644	190
R0645	279
R0646	10
R0647	407
R0648	53
R0649	63
R0650	34
R0651	0
R0652	747
R0654	75
R0655	177
R0656	227
R0659	0
R0660	5
R0661	656
R0662	0
R0663	94
R0664	327
R0665	416
R0666	0
R0667	309
R0668	35
R0669	406
R0670	1
R0671	0
R0672	30
R0673	0
R0674	2
R0675	38
R0676	741
R0677	2
R0678	67
R0679	35
R0680	1
R0681	0
R0682	10
R0683	138
R0684	209
R0685	450
R0686	15
R0687	74
R0688	61
R0689	445
R0690	0
R0691	472
R0692	539
R0693	29
R0694	112
R0695	98
R0696	288
R0697	477
R0698	107
R0699	260
R0700	32
R0701	4
R0702	47
R0703	168
R0704	123
R0705	53
R0706	80
R0708	345
R0709	2
R0710	590
R0712	316
R0713	0
R0714	234
R0715	122
R0716	9
R0717	100
R0718	184
R0719	0
R0720	6
R0721	107
R0722	359
R0723	412
R0724	64
R0725	0
R0726	0
R0727	3
R0728	1016
R0729	6
R0730	4
R0731	0
R0732	83
R0733	15
R0734	33
R0735	111
R0736	230
R0737	341
R0738	50
R0739	5
R0740	339
R0741	3
R0742	87
R0743	0
R0744	394
R0745	241
R0746	959
R0747	302
R0748	111
R0749	515
R0750	64
R0751	174
R0752	519
R0753	599
R0754	107
R0755	35
R0756	34
R0757	4
R0758	0
R0759	75
R0760	8
R0761	0
R0762	13
R0763	463
R0764	0
R0765	149
R0766	484
R0767	3
R0768	603
R0769	173
R0770	280
R0771	489
R0772	0
R0773	166
R0774	5
R0775	478
R0776	16
R0777	210
R0778	5
R0779	23
R0780	0
R0781	2
R0782	402
R0783	185
R0784	0
R0785	202
R0786	73
R0787	2
R0788	114
R0789	527
R0790	4
R0791	1
R0792	391
R0793	36
R0794	671
R0795	91
R0796	2
R0797	232
R0798	174
R0799	0
R0800	239
R0801	16
R0802	53
R0803	1
R0804	1
R0805	733
R0806	348
R0807	426
R0808	515
R0809	12
R0810	120
R0811	33
R0812	80
R0813	205
R0814	2
R0815	362
R0816	50
R0817	134
R0818	226
R0819	279
R0820	439
R0821	370
R0822	2
R0823	0
R0824	635
R0825	0
R0826	23
R0827	234
R0828	121
